configuration,seed,node_f1,edge_auroc,subgraph_f1,fidelity,stability,completeness,latency_seconds
full,11,0.9797979797979798,0.99925,0.6666666666666666,0.5382183194160461,1.0,1.0,0.00953429900005176
full,22,0.9797979797979798,0.99925,0.6666666666666666,0.49928948283195496,1.0,1.0,0.008230952500070998
full,33,0.9797979797979798,0.999275,0.6666666666666666,0.4373604357242584,1.0,1.0,0.008524125499889124
full,44,0.9797979797979798,0.9993,0.6666666666666666,0.5269151926040649,1.0,1.0,0.009797867000088445
full,55,0.9797979797979798,0.99925,0.6666666666666666,0.5473818182945251,1.0,1.0,0.009543402499957665
full,66,0.0,0.99925,0.6666666666666666,,,,
full,77,0.9797979797979798,0.99925,0.6666666666666666,0.5285354852676392,1.0,1.0,0.009310668000125588
full,88,0.9797979797979798,0.99925,0.6666666666666666,0.4825482666492462,1.0,1.0,0.007989891500301383
full,99,0.9797979797979798,0.9992,0.6666666666666666,0.4895537197589874,1.0,1.0,0.008444373000202177
full,110,0.9797979797979798,0.9991749999999999,0.6666666666666666,0.5206099152565002,1.0,1.0,0.008469469500141713
minus_temporal_stream,11,0.9797979797979798,0.9993,0.6666666666666666,0.5006329417228699,1.0,1.0,0.042057694999812156
minus_temporal_stream,22,0.9797979797979798,0.99925,0.6666666666666666,0.5323383808135986,1.0,1.0,0.010700098999905094
minus_temporal_stream,33,0.9797979797979798,0.99925,0.6666666666666666,0.4335915446281433,1.0,1.0,0.010376055999813616
minus_temporal_stream,44,0.0,0.999325,0.6666666666666666,,,,
minus_temporal_stream,55,0.9797979797979798,0.99925,0.6666666666666666,0.518230676651001,1.0,1.0,0.009645831999932852
minus_temporal_stream,66,0.0,0.99925,0.6666666666666666,,,,
minus_temporal_stream,77,0.9797979797979798,0.9991749999999999,0.6666666666666666,0.565942645072937,1.0,1.0,0.01915590599992356
minus_temporal_stream,88,0.9797979797979798,0.99925,0.6666666666666666,0.4711810350418091,1.0,1.0,0.010966442499920959
minus_temporal_stream,99,0.9797979797979798,0.99925,0.6666666666666666,0.4711606502532959,1.0,1.0,0.014780461999862382
minus_temporal_stream,110,0.9797979797979798,0.9991749999999999,0.6666666666666666,0.4996620714664459,1.0,1.0,0.015159559500034447
minus_heterogeneous_stream,11,0.5808383233532934,0.99925,0.5,0.2795877158641815,1.0,1.0,0.022047822000104134
minus_heterogeneous_stream,22,0.5808383233532934,0.99925,0.4,0.5024453401565552,1.0,1.0,0.020864517000063643
minus_heterogeneous_stream,33,0.5808383233532934,0.99925,0.4,0.4070950746536255,1.0,1.0,0.023091756999974677
minus_heterogeneous_stream,44,0.5808383233532934,0.99925,0.4,0.38586685061454773,1.0,1.0,0.02776849550014049
minus_heterogeneous_stream,55,0.5808383233532934,0.9984999999999999,0.4,0.4361442029476166,1.0,1.0,0.02422332950004602
minus_heterogeneous_stream,66,0.5808383233532934,0.998875,0.4,0.2502782940864563,1.0,1.0,0.024284006000016234
minus_heterogeneous_stream,77,0.5808383233532934,0.99925,0.5,0.2022104263305664,1.0,1.0,0.025214601000016046
minus_heterogeneous_stream,88,0.5808383233532934,0.99925,0.4,0.36797013878822327,1.0,1.0,0.023021483500087925
minus_heterogeneous_stream,99,0.5808383233532934,0.9987499999999999,0.4,0.3183196187019348,1.0,1.0,0.01297619949991713
minus_heterogeneous_stream,110,0.5808383233532934,0.9992,0.4,0.46908435225486755,1.0,1.0,0.013161932999764758
minus_joint_optimization,11,0.9797979797979798,0.99925,0.6666666666666666,0.5261856913566589,1.0,1.0,0.008196558999770787
minus_joint_optimization,22,0.9797979797979798,0.999225,0.6666666666666666,0.49678823351860046,1.0,1.0,0.008305040000095687
minus_joint_optimization,33,0.9797979797979798,0.999225,0.6666666666666666,0.45179420709609985,1.0,1.0,0.013315447500190203
minus_joint_optimization,44,0.9797979797979798,0.9993,0.6666666666666666,0.5298746824264526,1.0,1.0,0.016094241999780934
minus_joint_optimization,55,0.9797979797979798,0.998575,0.6666666666666666,0.5375936627388,1.0,1.0,0.008473461999983556
minus_joint_optimization,66,0.0,0.99925,0.6666666666666666,,,,
minus_joint_optimization,77,0.9797979797979798,0.99925,0.6666666666666666,0.5155428647994995,1.0,1.0,0.00821517199938171
minus_joint_optimization,88,0.9797979797979798,0.99925,0.6666666666666666,0.48158901929855347,1.0,1.0,0.008529929999895103
minus_joint_optimization,99,0.9797979797979798,0.9992,0.6666666666666666,0.4891546070575714,1.0,1.0,0.00795693149939325
minus_joint_optimization,110,0.9797979797979798,0.9991749999999999,0.6666666666666666,0.5268329977989197,1.0,1.0,0.01369906899981288
minus_consistency_regularization,11,0.9797979797979798,0.99925,0.6666666666666666,0.5451017618179321,1.0,1.0,0.015412221499900625
minus_consistency_regularization,22,0.9797979797979798,0.9992,0.6666666666666666,0.5266802906990051,1.0,1.0,0.015428842999881454
minus_consistency_regularization,33,0.9797979797979798,0.99925,0.6666666666666666,0.4857140779495239,1.0,1.0,0.016477969999868947
minus_consistency_regularization,44,0.9797979797979798,0.9993,0.6666666666666666,0.5391299724578857,1.0,1.0,0.01431267799989655
minus_consistency_regularization,55,0.9797979797979798,0.999025,0.6666666666666666,0.5203872919082642,1.0,1.0,0.00863707999997132
minus_consistency_regularization,66,0.0,0.99925,0.6666666666666666,,,,
minus_consistency_regularization,77,0.9797979797979798,0.99925,0.6666666666666666,0.561764121055603,1.0,1.0,0.008454136999716866
minus_consistency_regularization,88,0.9797979797979798,0.99925,0.6666666666666666,0.4907333552837372,1.0,1.0,0.008867946500231483
minus_consistency_regularization,99,0.9797979797979798,0.9992,0.6666666666666666,0.4923999309539795,1.0,1.0,0.007785153500208253
minus_consistency_regularization,110,0.9797979797979798,0.9991749999999999,0.6666666666666666,0.5233981609344482,1.0,1.0,0.011936304999835556
minus_prototype_learning,11,0.9797979797979798,0.99925,0.6666666666666666,0.5319242477416992,1.0,1.0,0.008636888500404893
minus_prototype_learning,22,0.9797979797979798,0.999225,0.6666666666666666,0.48904627561569214,1.0,1.0,0.009646125500239577
minus_prototype_learning,33,0.9797979797979798,0.999275,0.6666666666666666,0.4482705891132355,1.0,1.0,0.013286966499890696
minus_prototype_learning,44,0.9797979797979798,0.9993,0.6666666666666666,0.525784432888031,1.0,1.0,0.014969754000503599
minus_prototype_learning,55,0.9797979797979798,0.9986,0.6666666666666666,0.5363262295722961,1.0,1.0,0.012675489999764977
minus_prototype_learning,66,0.0,0.99925,0.6666666666666666,,,,
minus_prototype_learning,77,0.9797979797979798,0.9992,0.6666666666666666,0.5215326547622681,1.0,1.0,0.008020397999644047
