configuration,metric,n_seeds,mean,sd,ci95_low,ci95_high
full,node_f1,10,0.8818181818181818,0.3098393262993261,0.6601724800086608,1.1034638836277029
full,edge_auroc,10,0.9992449999999998,3.496029493901884e-05,0.9992199909115804,0.9992700090884192
full,subgraph_f1,10,0.6666666666666667,1.1702778228589004e-16,0.6666666666666666,0.6666666666666669
full,fidelity,9,0.507823626200358,0.03438053998257968,0.4813964037435644,0.5342508486571517
full,stability,9,1.0,0.0,1.0,1.0
full,completeness,9,1.0,0.0,1.0,1.0
full,latency_seconds,9,0.00887167205564765,0.0006702657360315991,0.00835646020265614,0.00938688390863916
minus_consistency_regularization,node_f1,10,0.8818181818181818,0.3098393262993261,0.6601724800086608,1.1034638836277029
minus_consistency_regularization,edge_auroc,10,0.9992149999999999,7.564537145271422e-05,0.9991608865611264,0.9992691134388733
minus_consistency_regularization,subgraph_f1,10,0.6666666666666667,1.1702778228589004e-16,0.6666666666666666,0.6666666666666669
minus_consistency_regularization,fidelity,9,0.5205898847844865,0.026427525790703087,0.5002758901989611,0.5409038793700119
minus_consistency_regularization,stability,9,1.0,0.0,1.0,1.0
minus_consistency_regularization,completeness,9,1.0,0.0,1.0,1.0
minus_consistency_regularization,latency_seconds,9,0.011923592722167895,0.003539235345078708,0.009203095608430481,0.01464408983590531
minus_gating_mechanism,node_f1,10,0.9797979797979798,0.0,0.9797979797979798,0.9797979797979798
minus_gating_mechanism,edge_auroc,10,0.9990574999999999,0.0004510866509515553,0.9987348120490506,0.9993801879509493
minus_gating_mechanism,subgraph_f1,10,0.47666666666666674,0.14233502471022114,0.37484632377870486,0.5784870095546286
minus_gating_mechanism,fidelity,10,0.5509736597537994,0.03087990667648015,0.5288835052570497,0.5730638142505491
minus_gating_mechanism,stability,10,1.0,0.0,1.0,1.0
minus_gating_mechanism,completeness,10,1.0,0.0,1.0,1.0
minus_gating_mechanism,latency_seconds,10,0.007351415849961995,0.00036853229266855153,0.0070877837293283445,0.007615047970595645
minus_heterogeneous_stream,node_f1,10,0.5808383233532934,0.0,0.5808383233532934,0.5808383233532934
minus_heterogeneous_stream,edge_auroc,10,0.9990824999999999,0.0002738739572220277,0.9988865823733356,0.9992784176266641
minus_heterogeneous_stream,subgraph_f1,10,0.42000000000000004,0.04216370213557838,0.38983790449602396,0.4501620955039761
minus_heterogeneous_stream,fidelity,10,0.36190020143985746,0.09777653540866035,0.29195508159338707,0.43184532128632785
minus_heterogeneous_stream,stability,10,1.0,0.0,1.0,1.0
minus_heterogeneous_stream,completeness,10,1.0,0.0,1.0,1.0
minus_heterogeneous_stream,latency_seconds,10,0.021665414400013107,0.004895768880731735,0.01816319232114539,0.025167636478880824
minus_joint_optimization,node_f1,10,0.8818181818181818,0.3098393262993261,0.6601724800086608,1.1034638836277029
minus_joint_optimization,edge_auroc,10,0.9991699999999998,0.00021173883284209368,0.999018531163664,0.9993214688363355
minus_joint_optimization,subgraph_f1,10,0.6666666666666667,1.1702778228589004e-16,0.6666666666666666,0.6666666666666669
minus_joint_optimization,fidelity,9,0.5061506628990173,0.028291530892857155,0.48440386715562234,0.5278974586424123
minus_joint_optimization,stability,9,1.0,0.0,1.0,1.0
minus_joint_optimization,completeness,9,1.0,0.0,1.0,1.0
minus_joint_optimization,latency_seconds,9,0.01030953922203379,0.003141043042868903,0.007895119806797135,0.012723958637270445
minus_prototype_learning,node_f1,10,0.8818181818181818,0.3098393262993261,0.6601724800086608,1.1034638836277029
minus_prototype_learning,edge_auroc,10,0.9991724999999999,0.00020461685061487047,0.9990261259228346,0.9993188740771652
minus_prototype_learning,subgraph_f1,10,0.6666666666666667,1.1702778228589004e-16,0.6666666666666666,0.6666666666666669
minus_prototype_learning,fidelity,9,0.5067067311869727,0.028815250182888948,0.48455736916074454,0.5288560932132009
minus_prototype_learning,stability,9,1.0,0.0,1.0,1.0
minus_prototype_learning,completeness,9,1.0,0.0,1.0,1.0
minus_prototype_learning,latency_seconds,9,0.010146419944653139,0.002752759488462291,0.00803046169011429,0.012262378199191988
minus_temporal_attention,node_f1,10,0.8818181818181818,0.3098393262993261,0.6601724800086608,1.1034638836277029
minus_temporal_attention,edge_auroc,10,0.9992399999999998,3.944053188734989e-05,0.999211785943139,0.9992682140568606
minus_temporal_attention,subgraph_f1,10,0.65,0.05270462766947298,0.6122973806200299,0.6877026193799701
minus_temporal_attention,fidelity,9,0.503023260169559,0.03138031822395659,0.47890221230673685,0.5271443080323812
minus_temporal_attention,stability,9,1.0,0.0,1.0,1.0
minus_temporal_attention,completeness,9,1.0,0.0,1.0,1.0
minus_temporal_attention,latency_seconds,9,0.008038564110999383,0.0007170045298243783,0.007487425640754338,0.008589702581244429
minus_temporal_stream,node_f1,10,0.7838383838383839,0.41311910173243477,0.4883107814256891,1.0793659862510787
minus_temporal_stream,edge_auroc,10,0.9992474999999998,4.632314036564884e-05,0.999214362421633,0.9992806375783667
minus_temporal_stream,subgraph_f1,10,0.6666666666666667,1.1702778228589004e-16,0.6666666666666666,0.6666666666666669
minus_temporal_stream,fidelity,8,0.4990924932062626,0.0410449421387911,0.4647780628511523,0.5334069235613729
minus_temporal_stream,stability,8,1.0,0.0,1.0,1.0
minus_temporal_stream,completeness,8,1.0,0.0,1.0,1.0
minus_temporal_stream,latency_seconds,8,0.016605256499900634,0.010781306506526497,0.007591858697941949,0.02561865430185932
