epoch,train_loss,validation_loss
1,1.5099968910217285,1.4506490230560303
2,1.4553954601287842,1.4485154151916504
3,1.3002673387527466,1.4483872652053833
4,1.2182867527008057,1.4525988101959229
5,1.1696875095367432,1.4576739072799683
6,1.1217827796936035,1.4641237258911133
7,1.0615606307983398,1.4727901220321655
8,1.0136840343475342,1.4874156713485718
9,0.9569708108901978,1.508476734161377
10,0.9214882254600525,1.5343760251998901
11,0.8874727487564087,1.5675300359725952
12,0.8477751016616821,1.6070228815078735
13,0.8354141116142273,1.651687502861023
