epoch,train_loss,validation_loss
1,1.1563259363174438,1.1501007080078125
2,1.123570442199707,1.1230323314666748
3,1.094930648803711,1.0965549945831299
4,1.0657943487167358,1.0712952613830566
5,1.0372207164764404,1.0478967428207397
6,1.0168336629867554,1.0272672176361084
7,1.0018022060394287,1.0100016593933105
8,0.9799240827560425,0.9962663054466248
9,0.9729738235473633,0.9858477115631104
10,0.9585623741149902,0.9777812361717224
11,0.9508252739906311,0.9709513783454895
12,0.9340096116065979,0.9643518924713135
13,0.9242095351219177,0.9570832848548889
14,0.9071335196495056,0.9489064812660217
15,0.8744891285896301,0.9396989345550537
16,0.8712860345840454,0.9295433163642883
17,0.8581808805465698,0.9187617301940918
18,0.8198013305664062,0.9079726934432983
19,0.8062816858291626,0.8979321718215942
20,0.7997178435325623,0.889413595199585
21,0.7747823596000671,0.8825516700744629
22,0.7421591281890869,0.8779706954956055
23,0.7366119027137756,0.8762912154197693
24,0.7094729542732239,0.8777622580528259
25,0.6796117424964905,0.8828997611999512
26,0.6586470603942871,0.8911399245262146
27,0.6381643414497375,0.9016521573066711
28,0.6134412288665771,0.9127125144004822
29,0.5966348648071289,0.922935962677002
30,0.572521984577179,0.9292091727256775
31,0.5466389656066895,0.931797206401825
32,0.53184574842453,0.930700421333313
33,0.5087777972221375,0.9245901107788086
