epoch,train_loss,validation_loss
1,1.149882435798645,1.1457353830337524
2,1.1399292945861816,1.1282225847244263
3,1.1280596256256104,1.1116814613342285
4,1.1198705434799194,1.095384955406189
5,1.1131579875946045,1.0790506601333618
6,1.102306842803955,1.0620700120925903
7,1.084582805633545,1.044063925743103
8,1.0785505771636963,1.0249366760253906
9,1.0603911876678467,1.0048080682754517
10,1.0464752912521362,0.9834439754486084
11,1.034751534461975,0.9608252644538879
12,1.010393500328064,0.9370278716087341
13,0.9883078932762146,0.9122572541236877
14,0.974517822265625,0.8864860534667969
15,0.9470468759536743,0.8599038124084473
16,0.9249359965324402,0.8329024910926819
17,0.8995646238327026,0.804960310459137
18,0.8767358064651489,0.7764290571212769
19,0.8585015535354614,0.7469723224639893
20,0.8218088150024414,0.7166149616241455
21,0.8011420965194702,0.6852244734764099
22,0.7832332253456116,0.652864396572113
23,0.7487899661064148,0.6198644042015076
24,0.729939341545105,0.5864157676696777
25,0.69671231508255,0.5527334809303284
26,0.7038504481315613,0.5192937850952148
27,0.6670351624488831,0.48562800884246826
28,0.6202564239501953,0.4518462121486664
29,0.5987915992736816,0.41806602478027344
30,0.5922935009002686,0.3853881061077118
31,0.5597628355026245,0.35465726256370544
32,0.5551773309707642,0.32767239212989807
33,0.5153144598007202,0.3047496974468231
34,0.5186963677406311,0.28690779209136963
35,0.4738156497478485,0.2718335688114166
36,0.460399329662323,0.2587430775165558
37,0.431994765996933,0.24445770680904388
38,0.4283697307109833,0.2310037761926651
39,0.4042998254299164,0.2160617858171463
40,0.3781000077724457,0.2020571231842041
41,0.3650904595851898,0.18970227241516113
42,0.35609614849090576,0.18174950778484344
43,0.3375334143638611,0.17692293226718903
44,0.3224708139896393,0.17303207516670227
45,0.30927664041519165,0.1697688102722168
46,0.28713974356651306,0.16626621782779694
47,0.28159400820732117,0.1637292355298996
48,0.28204330801963806,0.1628870666027069
49,0.26895323395729065,0.16242343187332153
50,0.25995227694511414,0.16197942197322845
