epoch,train_loss,validation_loss
1,1.1923916339874268,1.0407918691635132
2,1.1184754371643066,0.9837639331817627
3,1.0064862966537476,0.9309883713722229
4,0.9471723437309265,0.8823657035827637
5,0.924749493598938,0.8371574282646179
6,0.8202956914901733,0.7960366010665894
7,0.8113093376159668,0.7585790157318115
8,0.7586382031440735,0.7239927053451538
9,0.693314790725708,0.6922495365142822
10,0.6601828932762146,0.6633711457252502
11,0.6603489518165588,0.6361159682273865
12,0.5978752970695496,0.6103187203407288
13,0.556418240070343,0.585442841053009
14,0.524482250213623,0.5615909695625305
15,0.5121985077857971,0.5386323928833008
16,0.47528931498527527,0.5165998935699463
17,0.4470652639865875,0.4954027533531189
18,0.42395487427711487,0.4751017987728119
19,0.3972880244255066,0.45547109842300415
20,0.3774007558822632,0.436480849981308
21,0.349989116191864,0.41830864548683167
22,0.3335059881210327,0.4009411036968231
23,0.3205166459083557,0.38439324498176575
24,0.29816189408302307,0.3686971962451935
25,0.28254809975624084,0.35384896397590637
26,0.26520127058029175,0.3397640287876129
27,0.25064772367477417,0.32654401659965515
28,0.2360314279794693,0.3141287863254547
29,0.22664031386375427,0.3024609386920929
30,0.21594475209712982,0.2916896641254425
31,0.20563654601573944,0.2818901836872101
32,0.1946696788072586,0.27270686626434326
33,0.1851532906293869,0.2641110420227051
34,0.18024475872516632,0.2561287581920624
35,0.17158275842666626,0.24859273433685303
36,0.1629643589258194,0.24144314229488373
37,0.15783506631851196,0.23468978703022003
38,0.15507514774799347,0.22814960777759552
39,0.15145638585090637,0.22224679589271545
40,0.1424843966960907,0.21669979393482208
41,0.14329786598682404,0.21159875392913818
42,0.13748572766780853,0.2067921906709671
43,0.13736538589000702,0.2025756686925888
44,0.13066940009593964,0.19831737875938416
45,0.12894952297210693,0.1941535919904709
46,0.1241615042090416,0.19056972861289978
47,0.12354501336812973,0.1872074156999588
48,0.11918947845697403,0.1838408261537552
49,0.11991426348686218,0.1808536946773529
50,0.1157001256942749,0.17803211510181427
