configuration,seed,node_f1,edge_auroc,subgraph_f1,fidelity,stability,completeness,latency_seconds
full,11,0.6605293440736478,0.5299999999999999,0.75,0.002204321091994643,1.0,1.0,0.021763514999975087
full,22,0.6613272311212814,0.37547200000000003,0.8888888888888888,0.010479051619768143,1.0,0.9999889731407166,0.03585869250014184
full,33,0.6621160409556314,0.513616,0.8888888888888888,0.0,1.0,0.9999915957450867,0.019975530500005334
full,44,0.6959896507115135,0.505952,0.7272727272727273,0.0,1.0,0.9999963045120239,0.016954742000052647
full,55,0.662883087400681,0.461424,0.7272727272727273,0.016031870618462563,1.0,0.9999974370002747,0.01934675900020011
full,66,0.6636363636363637,0.532048,0.7272727272727273,0.0,1.0,0.9999917149543762,0.04267172649997519
full,77,0.662883087400681,0.5325279999999999,0.0,0.011316166259348392,1.0,1.0,0.061404879500059906
full,88,0.6613636363636364,0.513664,0.8888888888888888,0.008063721470534801,1.0,0.9999973773956299,0.026117794500123637
full,99,0.662883087400681,0.414288,0.6666666666666666,0.0037221682723611593,1.0,0.9999963641166687,0.022938606000025175
full,110,0.6605293440736478,0.5547839999999999,0.6666666666666666,0.010914413258433342,1.0,1.0,0.02057706000005055
minus_temporal_stream,11,0.66429418742586,0.48681599999999997,0.75,0.0004538468492683023,1.0,1.0,0.02077675299983639
minus_temporal_stream,22,0.6595238095238095,0.37356799999999996,0.75,0.0010463633807376027,1.0,1.0,0.019994124999811902
minus_temporal_stream,33,0.6659064994298746,0.543072,0.75,0.0010041057830676436,1.0,0.9999998807907104,0.019641033499965488
minus_temporal_stream,44,0.6483103879849812,0.42197599999999996,0.6153846153846154,0.003007228020578623,1.0,0.9999986290931702,0.03665415000000394
minus_temporal_stream,55,0.658256880733945,0.445504,0.6666666666666666,0.0006251202430576086,1.0,0.9999995827674866,0.02172461400004977
minus_temporal_stream,66,0.6682986536107711,0.413424,0.6666666666666666,0.0004911245196126401,1.0,1.0,0.017773129500028517
minus_temporal_stream,77,0.6689576174112256,0.576032,0.0,0.0,1.0,0.9999986290931702,0.018863585999952193
minus_temporal_stream,88,0.6659012629161883,0.568112,0.3333333333333333,0.002685814630240202,1.0,1.0,0.0216712760000064
minus_temporal_stream,99,0.662883087400681,0.407072,0.6666666666666666,0.0001111076126107946,1.0,1.0,0.020233026500136475
minus_temporal_stream,110,0.6605293440736478,0.531664,0.6666666666666666,0.0026012284215539694,1.0,0.9999979734420776,0.023022641000125077
minus_heterogeneous_stream,11,0.6605293440736478,0.483024,0.0,0.020752256736159325,1.0,1.0,0.01994892799984882
minus_heterogeneous_stream,22,0.6683417085427136,0.35672000000000004,0.6666666666666666,0.0014531828928738832,1.0,0.9999982118606567,0.03549942999984523
minus_heterogeneous_stream,33,0.662883087400681,0.664464,0.5454545454545454,0.0027991586830466986,1.0,0.9999988675117493,0.050215498999932606
minus_heterogeneous_stream,44,0.6608946608946609,0.5012,0.6666666666666666,0.0,1.0,0.9999948740005493,0.03063317650025965
minus_heterogeneous_stream,55,0.6674391657010429,0.479792,0.36363636363636365,0.02333761937916279,1.0,1.0,0.03897542999993675
minus_heterogeneous_stream,66,0.662883087400681,0.49585599999999996,0.4,0.0,1.0,1.0,0.03960288399980527
minus_heterogeneous_stream,77,0.662883087400681,0.536416,0.0,0.005259022116661072,1.0,1.0,0.034976685499941595
minus_heterogeneous_stream,88,0.6605293440736478,0.593712,0.7692307692307693,0.006985985208302736,1.0,0.9999993443489075,0.03914335250010481
minus_heterogeneous_stream,99,0.662883087400681,0.40540799999999994,0.6666666666666666,0.009007799439132214,0.9983968019485474,1.0,0.019729257500102904
minus_heterogeneous_stream,110,0.6605293440736478,0.530656,0.6666666666666666,0.008184459060430527,1.0,1.0,0.020247598999958427
minus_joint_optimization,11,0.6605293440736478,0.454576,0.8888888888888888,0.016109870746731758,1.0,0.9999949336051941,0.031217697999863958
minus_joint_optimization,22,0.6612903225806451,0.371856,0.8888888888888888,0.00860684271901846,1.0,1.0,0.02275050200023543
minus_joint_optimization,33,0.6666666666666666,0.50824,0.8888888888888888,0.0,1.0,0.9999907612800598,0.023116203999961726
minus_joint_optimization,44,0.697350069735007,0.5458080000000001,0.7272727272727273,0.0002820692316163331,1.0,0.9999957084655762,0.029743063500063727
minus_joint_optimization,55,0.664391353811149,0.483232,0.8888888888888888,0.031053844839334488,1.0,0.9999979138374329,0.019068699999934324
minus_joint_optimization,66,0.6715328467153284,0.52848,0.6666666666666666,0.0,1.0,1.0,0.019895510499964075
minus_joint_optimization,77,0.662883087400681,0.519248,0.8,0.017423199489712715,1.0,0.9999914169311523,0.02039898650014038
minus_joint_optimization,88,0.6651428571428571,0.504128,0.8888888888888888,0.004705231636762619,1.0,1.0,0.019846557499931805
minus_joint_optimization,99,0.662883087400681,0.418464,0.6666666666666666,0.004404234699904919,1.0,0.9999914765357971,0.029925929000000906
minus_joint_optimization,110,0.6605293440736478,0.5585279999999999,0.6666666666666666,0.015557363629341125,1.0,0.9999983310699463,0.029007354499981375
minus_consistency_regularization,11,0.6605293440736478,0.5300800000000001,0.8888888888888888,0.0023836903274059296,1.0,1.0,0.01921346150015779
minus_consistency_regularization,22,0.6613272311212814,0.375664,0.8888888888888888,0.010528198443353176,1.0,0.9999885559082031,0.019127193000031184
minus_consistency_regularization,33,0.6621160409556314,0.513312,0.8888888888888888,0.0,1.0,0.9999904632568359,0.03691449100006139
minus_consistency_regularization,44,0.6968911917098446,0.505792,0.7272727272727273,0.0,1.0,0.9999961853027344,0.03748924499996065
minus_consistency_regularization,55,0.662883087400681,0.46073600000000003,0.5714285714285714,0.016035011038184166,1.0,0.9999974966049194,0.04388341549997676
minus_consistency_regularization,66,0.6636363636363637,0.531696,0.7272727272727273,0.0,1.0,0.9999927282333374,0.03959664749982039
minus_consistency_regularization,77,0.662883087400681,0.53272,0.0,0.010401316918432713,1.0,1.0,0.04244409499960966
minus_consistency_regularization,88,0.6643835616438356,0.515488,0.8888888888888888,0.008370917290449142,1.0,0.999997079372406,0.043426529000043956
minus_consistency_regularization,99,0.662883087400681,0.423872,0.6666666666666666,0.004325236659497023,1.0,0.9999966621398926,0.02413206400024137
minus_consistency_regularization,110,0.6605293440736478,0.5660959999999999,0.7272727272727273,0.012573238462209702,1.0,1.0,0.021899770999880275
minus_prototype_learning,11,0.6605293440736478,0.458688,0.8888888888888888,0.017045866698026657,1.0,1.0,0.02473531150008057
minus_prototype_learning,22,0.6597701149425287,0.374608,0.8888888888888888,0.00781146390363574,1.0,0.9999867081642151,0.020980501500162063
minus_prototype_learning,33,0.6682297772567409,0.508032,0.8888888888888888,0.0,1.0,0.9999896883964539,0.022900299999946583
