epoch,train_loss,validation_loss
1,0.7226548790931702,0.6906113624572754
2,0.714621365070343,0.6841587424278259
3,0.7070122957229614,0.6787549257278442
4,0.7001163959503174,0.6742957830429077
5,0.6969468593597412,0.6704229712486267
6,0.6965652704238892,0.6674580574035645
7,0.6917017698287964,0.6653468608856201
8,0.6886911988258362,0.6638718247413635
9,0.6875351071357727,0.6634283661842346
10,0.6827864646911621,0.663631021976471
11,0.6781823635101318,0.6645130515098572
12,0.6764856576919556,0.6652889847755432
13,0.6750792264938354,0.6659406423568726
14,0.6675785183906555,0.666607677936554
15,0.6715908646583557,0.6669294834136963
16,0.6672210097312927,0.6667439937591553
17,0.6649569272994995,0.6664767265319824
18,0.6622985005378723,0.6657845973968506
19,0.6538011431694031,0.6650062799453735
