metric,matched_seeds,paired_difference,ci95_low,ci95_high,paired_effect_dz,exact_sign_flip_pvalue_two_sided,dataset,candidate,reference,holm_pvalue_within_metric
explanation_fidelity,10,0.0015047770924866105,-0.004022478311565419,0.007032032496538639,0.19475356327257964,0.59375,streamspot,minus_heterogeneous_stream,full,1.0
node_f1,10,0.001905810646254591,-1.888464795372761e-05,0.0038305059404629095,0.7083379958236012,0.0625,streamspot,minus_joint_optimization,full,1.0
edge_auroc,10,-0.004121599999999959,-0.025364543490149,0.017121343490149085,-0.13879503210164476,0.712890625,streamspot,minus_joint_optimization,full,1.0
subgraph_f1,10,0.103989898989899,-0.07775769018648385,0.28573748816628186,0.40930332408108044,0.25,streamspot,minus_joint_optimization,full,1.0
explanation_fidelity,10,0.00354109444015194,-0.001032049984290611,0.00811423886459449,0.5539178576818719,0.1171875,streamspot,minus_joint_optimization,full,1.0
node_f1,10,-0.0019311723928317926,-0.007778688615351293,0.003916343829687708,-0.2362503078677879,0.65625,streamspot,minus_prototype_learning,full,1.0
edge_auroc,10,-0.002095999999999959,-0.02292951775108318,0.018737517751083264,-0.07196999051379713,0.845703125,streamspot,minus_prototype_learning,full,1.0
subgraph_f1,10,0.11732323232323232,-0.060007663006578296,0.29465412765304294,0.473284614714941,0.125,streamspot,minus_prototype_learning,full,1.0
explanation_fidelity,10,0.00386009207286404,-0.0008836835005206177,0.008603867646248698,0.5820982631426861,0.1171875,streamspot,minus_prototype_learning,full,1.0
node_f1,10,-0.0033766210638706217,-0.010648433782889823,0.003895191655148579,-0.33217153551936573,0.375,streamspot,minus_temporal_attention,full,1.0
edge_auroc,10,-0.001870399999999961,-0.005461332240228036,0.001720532240228115,-0.3726061834133971,0.33203125,streamspot,minus_temporal_attention,full,1.0
subgraph_f1,10,-0.012727272727272731,-0.041518363890158984,0.016063818435613525,-0.31622776601683794,1.0,streamspot,minus_temporal_attention,full,1.0
explanation_fidelity,10,1.381066394970001e-05,-0.0008985041832464895,0.0009261255111458895,0.010829105612849289,0.96875,streamspot,minus_temporal_attention,full,1.0
node_f1,10,-0.0031279142626780996,-0.01458329853916187,0.008327470013805672,-0.19532955116000192,0.9140625,streamspot,minus_temporal_stream,full,1.0
edge_auroc,10,-0.01665359999999999,-0.05567795746684178,0.0223707574668418,-0.30527774299411636,0.365234375,streamspot,minus_temporal_stream,full,1.0
subgraph_f1,10,-0.10664335664335664,-0.22666786885117146,0.013381155564458194,-0.6356040132754699,0.03125,streamspot,minus_temporal_stream,full,0.78125
explanation_fidelity,10,-0.00507057731301756,-0.009347585692808674,-0.0007935689332264463,-0.848086366925108,0.02734375,streamspot,minus_temporal_stream,full,0.328125
node_f1,10,0.0,0.0,0.0,,1.0,theia,minus_consistency_regularization,full,1.0
edge_auroc,10,-2.9999999999996697e-05,-8.044266685571201e-05,2.0442666855718613e-05,-0.4254475133224645,0.25,theia,minus_consistency_regularization,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,theia,minus_consistency_regularization,full,1.0
explanation_fidelity,10,,,,,0.0,theia,minus_consistency_regularization,full,0.0
node_f1,10,0.09797979797979797,-0.12366590382972312,0.3196254997893191,0.3162277660168379,1.0,theia,minus_gating_mechanism,full,1.0
edge_auroc,10,-0.000187499999999996,-0.0005100998360005166,0.00013509983600052463,-0.4157764663875412,0.1875,theia,minus_gating_mechanism,full,1.0
subgraph_f1,10,-0.18999999999999995,-0.2918203428879618,-0.08817965711203805,-1.3348787509386364,0.0078125,theia,minus_gating_mechanism,full,0.2109375
explanation_fidelity,10,,,,,0.0,theia,minus_gating_mechanism,full,0.0
node_f1,10,-0.30097985846488834,-0.5226255602744094,-0.07933415665536725,-0.9714062512972323,0.021484375,theia,minus_heterogeneous_stream,full,0.6015625
edge_auroc,10,-0.00016249999999999875,-0.0003540519415278874,2.9051941527889958e-05,-0.6068614929873082,0.09375,theia,minus_heterogeneous_stream,full,1.0
subgraph_f1,10,-0.2466666666666666,-0.2768287621706426,-0.21650457116269053,-5.850213671311502,0.001953125,theia,minus_heterogeneous_stream,full,0.0546875
explanation_fidelity,10,,,,,0.0,theia,minus_heterogeneous_stream,full,0.0
node_f1,10,0.0,0.0,0.0,,1.0,theia,minus_joint_optimization,full,1.0
edge_auroc,10,-7.499999999999174e-05,-0.00022628102617506924,7.628102617508576e-05,-0.3546496828075635,0.25,theia,minus_joint_optimization,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,theia,minus_joint_optimization,full,1.0
explanation_fidelity,10,,,,,0.0,theia,minus_joint_optimization,full,0.0
node_f1,10,0.0,0.0,0.0,,1.0,theia,minus_prototype_learning,full,1.0
edge_auroc,10,-7.249999999998646e-05,-0.0002181439059479542,7.314390594798127e-05,-0.35609712157398504,0.25,theia,minus_prototype_learning,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,theia,minus_prototype_learning,full,1.0
explanation_fidelity,10,,,,,0.0,theia,minus_prototype_learning,full,0.0
node_f1,10,0.0,0.0,0.0,,1.0,theia,minus_temporal_attention,full,1.0
edge_auroc,10,-4.999999999988347e-06,-2.3470435889438473e-05,1.3470435889461778e-05,-0.19364916731001253,1.0,theia,minus_temporal_attention,full,1.0
subgraph_f1,10,-0.016666666666666663,-0.05436928604663673,0.021035952713303406,-0.31622776601683794,1.0,theia,minus_temporal_attention,full,1.0
explanation_fidelity,10,,,,,0.0,theia,minus_temporal_attention,full,0.0
node_f1,10,-0.09797979797979797,-0.3196254997893191,0.12366590382972312,-0.3162277660168379,1.0,theia,minus_temporal_stream,full,1.0
edge_auroc,10,2.500000000005276e-06,-2.341626608101181e-05,2.841626608102236e-05,0.06900655593439757,1.0,theia,minus_temporal_stream,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,theia,minus_temporal_stream,full,1.0
explanation_fidelity,10,,,,,0.0,theia,minus_temporal_stream,full,0.0
node_f1,10,-0.01408788344272215,-0.18930037624965856,0.16112460936421424,-0.057517957480153516,0.8359375,trace,minus_consistency_regularization,full,1.0
edge_auroc,10,-0.0014981112637362348,-0.0026193313741164955,-0.00037689115335597404,-0.9558196722521277,0.0234375,trace,minus_consistency_regularization,full,0.609375
subgraph_f1,10,0.0,0.0,0.0,,1.0,trace,minus_consistency_regularization,full,1.0
explanation_fidelity,10,,,,,0.0,trace,minus_consistency_regularization,full,0.0
node_f1,10,-0.17534357576846366,-0.36334012948578687,0.012652977948859556,-0.6672103044621011,0.06640625,trace,minus_gating_mechanism,full,1.0
edge_auroc,10,0.0018372252747253293,0.00012324401660283087,0.003551206532847828,0.7667947253625599,0.0234375,trace,minus_gating_mechanism,full,0.609375
subgraph_f1,10,0.0,0.0,0.0,,1.0,trace,minus_gating_mechanism,full,1.0
explanation_fidelity,10,,,,,0.0,trace,minus_gating_mechanism,full,0.0
node_f1,10,-0.14287576223060092,-0.4667256956393706,0.18097417117816875,-0.3156003835840693,0.390625,trace,minus_heterogeneous_stream,full,1.0
edge_auroc,10,0.001974587912087944,0.00041464978620612213,0.003534526037969766,0.9055071325728451,0.00390625,trace,minus_heterogeneous_stream,full,0.10546875
subgraph_f1,10,0.0,0.0,0.0,,1.0,trace,minus_heterogeneous_stream,full,1.0
explanation_fidelity,10,,,,,0.0,trace,minus_heterogeneous_stream,full,0.0
node_f1,10,-0.034200831847890675,-0.14262668609467866,0.07422502239889729,-0.22564545534170713,0.4375,trace,minus_joint_optimization,full,1.0
edge_auroc,10,-4.2925824175821245e-05,-0.0015838754529342853,0.001498023804582643,-0.019927507165433404,0.9375,trace,minus_joint_optimization,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,trace,minus_joint_optimization,full,1.0
explanation_fidelity,10,,,,,0.0,trace,minus_joint_optimization,full,0.0
node_f1,10,-0.010286713852078872,-0.14455494335567887,0.12398151565152112,-0.05480575576988165,0.859375,trace,minus_prototype_learning,full,1.0
edge_auroc,10,-0.0003047733516483131,-0.0013019540429491045,0.0006924073396524784,-0.218638130240011,0.7578125,trace,minus_prototype_learning,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,trace,minus_prototype_learning,full,1.0
explanation_fidelity,10,,,,,0.0,trace,minus_prototype_learning,full,0.0
node_f1,10,0.10702322766838894,-0.06542629625270067,0.27947275158947854,0.4439548644209966,0.21875,trace,minus_temporal_attention,full,1.0
edge_auroc,10,0.0012148008241758435,-0.0005066370101767411,0.002936238658528428,0.5048199485402115,0.1484375,trace,minus_temporal_attention,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,trace,minus_temporal_attention,full,1.0
explanation_fidelity,10,,,,,0.0,trace,minus_temporal_attention,full,0.0
node_f1,10,0.030100150745312047,-0.21410468952962916,0.27430499102025324,0.08817331663932026,0.86328125,trace,minus_temporal_stream,full,1.0
edge_auroc,10,-0.0005236950549450281,-0.003142122110658888,0.0020947320007688314,-0.14307401589061178,0.6484375,trace,minus_temporal_stream,full,1.0
subgraph_f1,10,0.0,0.0,0.0,,1.0,trace,minus_temporal_stream,full,1.0
explanation_fidelity,10,,,,,0.0,trace,minus_temporal_stream,full,0.0
