dataset,model,seed,f1,auroc,auprc,edge_f1_derived,edge_auroc_derived,subgraph_f1_derived,explanation_fidelity,explanation_stability,deletion_auc,insertion_probability_auc,normalized_insertion_gain_auc,epochs_executed,best_epoch,reached_epoch_limit
streamspot,xthgnn,44,0.6959896507115135,0.6554875236382085,0.616888362807083,0.664886515353805,0.505952,0.7272727272727273,0.0,1.0,-0.0009120120870647953,0.5234927922487259,-0.6566425651311874,30,20,False
streamspot,xthgnn,55,0.662883087400681,0.4405008994050089,0.4956070670370781,0.6666666666666666,0.461424,0.7272727272727273,0.016031870618462563,1.0,0.015230277087539434,0.5126575872302055,0.8031608372926713,24,14,False
streamspot,xthgnn,66,0.6636363636363637,0.537469443291361,0.5600638661899755,0.6693440428380187,0.532048,0.7272727272727273,0.0,1.0,-0.004464137298054994,0.4645585983991623,-0.6871699750423432,29,19,False
streamspot,xthgnn,77,0.662883087400681,0.5443014621096813,0.5569581703355375,0.6657718120805369,0.5325279999999999,0.0,0.011316166259348392,1.0,0.010750357946380972,0.4851797878742218,0.8034656465053558,26,16,False
streamspot,xthgnn,88,0.6613636363636364,0.5753367003367003,0.5963226175618404,0.6666666666666666,0.513664,0.8888888888888888,0.008063721470534801,1.0,0.007660535397008061,0.49178783893585204,0.5081820756196975,42,32,False
streamspot,xthgnn,99,0.662883087400681,0.597164568054979,0.638033005282105,0.6666666666666666,0.414288,0.6666666666666666,0.0037221682723611593,1.0,0.0035360598587431016,0.5226415455341339,0.6609542310237884,25,15,False
theia,xthgnn,11,0.9797979797979798,0.9987044631672873,0.9934496498430331,0.9743589743589743,0.99925,0.6666666666666666,0.5382183194160461,1.0,0.5113074034452438,0.91608075350523,0.9500000000000001,50,50,True
theia,xthgnn,110,0.9797979797979798,0.9887519947835339,0.9850785900229609,0.9847715736040609,0.9991749999999999,0.6666666666666666,0.5206099152565002,1.0,0.49457941949367523,0.9059184595942497,0.9500000000000001,39,29,False
theia,xthgnn,22,0.9797979797979798,0.9760025395953806,0.9692998058021651,0.9743589743589743,0.99925,0.6666666666666666,0.49928948283195496,1.0,0.4743250086903572,0.8304738208651543,0.9500000000000001,50,49,True
theia,xthgnn,33,0.9797979797979798,0.9826775571837945,0.9716192509384669,0.9795918367346939,0.999275,0.6666666666666666,0.4373604357242584,1.0,0.4154924139380455,0.9247195988893508,0.9500000000000001,44,34,False
theia,xthgnn,44,0.9797979797979798,0.9900046330456269,0.9820567558614597,0.9847715736040609,0.9993,0.6666666666666666,0.5269151926040649,1.0,0.5005694329738617,0.9239678725600242,0.9500000000000001,50,47,True
theia,xthgnn,55,0.9797979797979798,0.9818882234843935,0.9760321560611346,0.9847715736040609,0.99925,0.6666666666666666,0.5473818182945251,1.0,0.520012727379799,0.8976359263062477,0.9500000000000001,50,50,True
theia,xthgnn,66,0.0,0.972622132230554,0.9683470640014036,0.9847715736040609,0.99925,0.6666666666666666,,,,,,50,50,True
theia,xthgnn,77,0.9797979797979798,0.9791770338212331,0.9704774526253844,0.9795918367346939,0.99925,0.6666666666666666,0.5285354852676392,1.0,0.5021087110042572,0.8885145977139473,0.9500000000000001,50,49,True
theia,xthgnn,88,0.9797979797979798,0.9772894967139695,0.9697282563460403,0.9797979797979798,0.99925,0.6666666666666666,0.4825482666492462,1.0,0.45842085331678395,0.8952844858169555,0.9500000000000001,44,34,False
theia,xthgnn,99,0.9797979797979798,0.989060864491995,0.9797445476806813,0.9743589743589743,0.9992,0.6666666666666666,0.4895537197589874,1.0,0.4650760337710381,0.8630668237805367,0.9500000000000001,50,49,True
trace,xthgnn,11,0.2857142857142857,0.9941291585127201,0.38333333333333336,0.8571428571428571,0.9948918269230769,1.0,0.16422805190086365,1.0,0.1560392215847969,0.5888260528445244,0.7073017269372941,41,31,False
trace,xthgnn,110,0.2727272727272727,0.9732550554468362,0.12380952380952381,0.44776119402985076,0.997810782967033,1.0,0.1404922604560852,0.965217399597168,0.13327465504407884,0.6409327030181885,0.868727821111679,43,33,False
trace,xthgnn,22,0.0,0.9960861056751468,0.4777777777777778,0.8571428571428571,0.9976820054945055,1.0,,,,,,50,45,True
trace,xthgnn,33,0.1935483870967742,0.9628180039138943,0.09254385964912282,0.865979381443299,0.9933035714285714,1.0,0.13615193963050842,0.975,0.12930575907230377,0.6453303933143616,0.8521459877490998,34,24,False
trace,xthgnn,44,0.6666666666666666,0.9941291585127202,0.38333333333333336,0.9052631578947369,0.9999570741758241,1.0,0.17561620473861694,0.9200000047683716,0.16798333674669266,0.7504946365952492,0.9056551963090896,50,46,True
trace,xthgnn,55,1.0,1.0,1.0,0.9052631578947369,1.0,1.0,0.0009920001029968262,0.7857142925262451,0.0033136120066046713,0.6977470770478248,0.9651923596858979,50,47,True
trace,xthgnn,66,0.6,0.9941291585127202,0.38333333333333336,0.23728813559322035,0.9984975961538461,1.0,0.08703373372554779,1.0,0.08284490033984185,0.6364528089761734,0.8819983720779419,42,32,False
trace,xthgnn,77,0.0,0.9804305283757339,0.1627816627816628,0.96,0.9999570741758241,1.0,0.08390061557292938,1.0,0.07970558479428291,0.5625668078660965,1.044979524612427,48,38,False
trace,xthgnn,88,0.13333333333333333,0.9823874755381605,0.17826617826617824,0.9523809523809523,0.9987551510989011,1.0,0.19373472034931183,1.0,0.18417225107550622,0.5541622713208199,0.5155152648687362,44,34,False
trace,xthgnn,99,0.2222222222222222,0.9908675799086758,0.2869047619047619,0.8444444444444444,0.9980254120879121,1.0,0.16566258668899536,0.9,0.15758654028177263,0.6267437860369682,0.9034057587385178,49,39,False
