,,node_f1,node_f1,edge_auroc,edge_auroc,subgraph_f1,subgraph_f1,explanation_fidelity,explanation_fidelity,stability,stability,completeness,completeness,latency_seconds,latency_seconds
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,ablation,,,,,,,,,,,,,,
streamspot,minus_gating_mechanism,0.6625928110499247,0.006900055778596646,0.4978576,0.07756867049581864,0.6807536907536907,0.11055625029059973,0.01199056594632563,0.01393288886180432,0.9998396801948548,0.0005069757382934073,0.9999967992305756,5.606432165733534e-06,0.026743303899956977,0.009459981536164678
streamspot,minus_heterogeneous_stream,0.6629795916962085,0.0028094172266231753,0.5047248,0.08696422618372074,0.47449883449883445,0.2804271307244872,0.00777794835157688,0.008198034899947587,0.9998396801948548,0.0005069757382934073,0.9999991297721863,1.619765284616459e-06,0.03289722419997357,0.010209665928759411
streamspot,minus_joint_optimization,0.6673198979600311,0.01106170743313324,0.48925599999999997,0.0587363296700697,0.7971717171717171,0.10437580101282469,0.00981426569924221,0.01012128855911192,1.0,0.0,0.9999960541725159,3.759431686786506e-06,0.02449705055000773,0.004904905266806392
streamspot,minus_prototype_learning,0.6634829149209447,0.004359509280668208,0.49128160000000004,0.05570868147624948,0.8105050505050505,0.09383639647591871,0.01013326333195431,0.01027051652562553,1.0,0.0,0.9999969303607941,4.801391640797918e-06,0.026069558150129464,0.007038192312445624
streamspot,minus_temporal_attention,0.6620374662499059,0.0013640283845450095,0.49150720000000003,0.058104093343661206,0.6804545454545454,0.2602192696407227,0.00628698192303997,0.005253043076029021,1.0,0.0,0.9999975025653839,3.732100196434784e-06,0.02498469295001082,0.017142958758179356
streamspot,minus_temporal_stream,0.6622861730510985,0.0060873002931104495,0.4767239999999999,0.07394264888712364,0.5865384615384615,0.23916833799692605,0.00120259394607271,0.001131100404714718,1.0,0.0,0.9999994695186615,7.630274062909375e-07,0.022035433449991558,0.005352793263559058
theia,full,0.8818181818181818,0.30983932629932603,0.9992449999999999,3.4960294938990715e-05,0.6666666666666666,0.0,0.507823626200358,0.034380539982579686,1.0,0.0,1.0,0.0,0.008871672055647588,0.0006702657360316028
theia,minus_consistency_regularization,0.8818181818181818,0.30983932629932603,0.9992150000000001,7.564537145270571e-05,0.6666666666666666,0.0,0.5205898847844865,0.026427525790703087,1.0,0.0,1.0,0.0,0.011923592722167845,0.0035392353450787143
theia,minus_gating_mechanism,0.9797979797979798,0.0,0.9990574999999999,0.0004510866509515432,0.4766666666666667,0.14233502471022114,0.5509736597537994,0.030879906676480155,1.0,0.0,1.0,0.0,0.00735141584996193,0.00036853229266854996
theia,minus_heterogeneous_stream,0.5808383233532934,0.0,0.9990824999999999,0.00027387395722198803,0.42000000000000004,0.04216370213557839,0.36190020143985746,0.09777653540866034,1.0,0.0,1.0,0.0,0.021665414400013062,0.00489576888073173
theia,minus_joint_optimization,0.8818181818181818,0.30983932629932603,0.99917,0.00021173883284208775,0.6666666666666666,0.0,0.5061506628990173,0.028291530892857183,1.0,0.0,1.0,0.0,0.010309539222033743,0.0031410430428689073
theia,minus_prototype_learning,0.8818181818181818,0.30983932629932603,0.9991725,0.00020461685061486085,0.6666666666666666,0.0,0.5067067311869727,0.028815250182888958,1.0,0.0,1.0,0.0,0.010146419944653066,0.0027527594884622754
theia,minus_temporal_attention,0.8818181818181818,0.30983932629932603,0.99924,3.9440531887295236e-05,0.65,0.05270462766947298,0.503023260169559,0.03138031822395662,1.0,0.0,1.0,0.0,0.008038564110999322,0.0007170045298243635
theia,minus_temporal_stream,0.7838383838383838,0.41311910173243477,0.9992475000000001,4.632314036561925e-05,0.6666666666666666,0.0,0.4990924932062626,0.04104494213879109,1.0,0.0,1.0,0.0,0.016605256499900575,0.010781306506526497
trace,full,0.33742121677605547,0.3208578708302531,0.9978880494505494,0.0022162920757820073,1.0,0.0,0.12753467924065054,0.060512274882108946,0.9495479663213094,0.07180226635919104,0.9626059730847677,0.04718229663574942,0.0059470871667346445,0.0019125395183943116
trace,minus_consistency_regularization,0.32333333333333336,0.2846049894151541,0.9963899381868131,0.0029327725342119405,1.0,0.0,0.14777802079915997,0.07761979617415371,0.9562080317735673,0.05779294175229353,0.956464022397995,0.0551293473824264,0.00559523500010068,0.0006347855112182106
trace,minus_gating_mechanism,0.1620776410075918,0.18065346736140872,0.9997252747252748,0.0003181534365771128,1.0,0.0,0.08259603520855305,0.04501114132462797,0.9247513139247895,0.11063881643659997,0.9574795067310333,0.03265109505198774,0.006512237750075619,0.003255970239246857
trace,minus_heterogeneous_stream,0.19454545454545452,0.346256379373892,0.9998626373626374,0.0003532806630497576,1.0,0.0,0.07211991120129822,0.09549974372993253,0.8766430653631687,0.1449122440901568,0.965871088206768,0.061708571135398294,0.006717653874971988,0.0021739337644523563
trace,minus_joint_optimization,0.30322038492816483,0.2784018718469398,0.9978451236263736,0.0027499194122430617,1.0,0.0,0.16306189894676204,0.06705834717366482,0.9580116987228393,0.05621234461849482,0.9576831817626953,0.046403081726270674,0.0061819156000637605,0.0013530691779402092
trace,minus_prototype_learning,0.3271345029239766,0.2589251977245777,0.9975832760989011,0.0025452476023569964,1.0,0.0,0.1626569829881191,0.06798968385072418,0.9628609120845795,0.05154917172876456,0.9500466763973237,0.043159007591389915,0.00841617160003803,0.001910119398452337
trace,minus_temporal_attention,0.4444444444444445,0.32605216410479654,0.9991028502747252,0.0009225335648155069,1.0,0.0,0.13008149117231366,0.08694884516276173,0.9236591625213624,0.11048603515414075,0.9657728135585785,0.029580977167776152,0.0057601518999490006,0.0017640207603321306
trace,minus_temporal_stream,0.3675213675213675,0.38024850268107957,0.9973643543956043,0.0025603374023092595,1.0,0.0,0.0959576870469997,0.0842140729771259,0.9467078195677863,0.07027670791302762,0.9819972912470499,0.028019466933377507,0.0073330324444971446,0.002870275432298441
