dataset,ablation,seed,node_f1,edge_auroc,subgraph_f1,explanation_fidelity,stability,completeness,latency_seconds
cadets,full,11,0.0,0.467725,1.0,0.0,1.0,1.0,0.0049814894998689
cadets,full,22,0.0614035087719298,0.689825,1.0,0.0,0.9496297717094422,1.0,0.0143269774998771
cadets,full,33,0.0248447204968944,0.8452999999999999,1.0,0.0,0.970435392856598,1.0,0.0097588605001419
cadets,full,44,0.0220472440944881,0.53155,1.0,0.0,0.9530039668083192,0.9999980330467224,0.0198304204998294
cadets,full,55,0.1085271317829457,0.64365,1.0,0.0018157284939661,0.9023759961128236,1.0,0.0119795760001579
cadets,full,66,0.1875,0.30895,1.0,3.584121441235766e-05,0.9751923084259032,1.0,0.008974635000186
cadets,full,77,0.0,0.140975,1.0,0.0024423401337116,1.0,0.999642848968506,0.0060084179999648
cadets,full,88,0.2,0.654425,1.0,2.7753272661357187e-05,0.8796155691146851,1.0,0.0125737164999009
cadets,full,99,0.0933333333333333,0.451475,1.0,0.0019798099528998,0.9867019891738892,1.0,0.0264498619999358
cadets,full,110,0.4761904761904761,0.783675,1.0,1.0145561645913403e-05,0.808432149887085,1.0,0.0100530530000924
cadets,minus_temporal_stream,11,0.0,0.7698,1.0,0.0,0.8,1.0,0.0056506429998535
cadets,minus_temporal_stream,22,0.0625,0.7199,1.0,0.0001133273835876,0.9578788638114928,1.0,0.0204653670000425
cadets,minus_temporal_stream,33,0.0244328097731239,0.8466,1.0,0.0,0.8929672956466674,1.0,0.0138653280000653
cadets,minus_temporal_stream,44,0.0220472440944881,0.54235,1.0,0.0,0.9684351563453676,0.9999950528144836,0.0321044590000383
cadets,minus_temporal_stream,55,0.0952380952380952,0.6636,1.0,0.0006374390795826,0.9062445998191834,1.0,0.0203786244999264
cadets,minus_temporal_stream,66,0.2,0.31175,1.0,3.653314706753008e-05,0.9733333110809326,1.0,0.0063574404998689
