n,prevalence,threshold,accuracy,f1,precision,recall,auroc,auprc,brier_score,model,seed,best_epoch,epochs_executed,parameter_count,primary_outcome,implementation_scope,dataset
628,0.011146496815286623,0.5489878058433533,0.9856687898089171,0.5263157894736842,0.4166666666666667,0.7142857142857143,0.8760064412238325,0.4586961566900363,0.2804418900692449,gcn,33,1,11,961,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.5387876629829407,0.982484076433121,0.47619047619047616,0.35714285714285715,0.7142857142857143,0.8785369220151827,0.6281172584640793,0.23228606311471275,gcn,44,3,13,961,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.5538643002510071,0.9808917197452229,0.45454545454545453,0.3333333333333333,0.7142857142857143,0.8974005060961582,0.6181533241315851,0.2806129508793639,gcn,55,4,14,961,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.5622373223304749,0.9235668789808917,0.2,0.11320754716981132,0.8571428571428571,0.9698642742121003,0.6297619047619047,0.2949517284206969,gcn,66,5,15,961,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.58,0.9888535031847133,0.0,0.0,0.0,0.10812054290315161,0.007005357703698303,0.2831295199784508,gcn,77,4,14,961,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.5783515572547913,0.9777070063694268,0.4166666666666667,0.29411764705882354,0.7142857142857143,0.8840579710144929,0.6257085020242915,0.29548221479655135,gcn,88,6,16,961,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.49513185024261475,0.9792993630573248,0.0,0.0,0.0,0.19668737060041408,0.0077331867520588965,0.22635482163737253,gcn,99,1,11,961,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.5712904334068298,0.9315286624203821,0.18867924528301888,0.10869565217391304,0.7142857142857143,0.9424890729238556,0.12004282593473567,0.2592397585321194,rgcn,11,1,11,15169,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.5427867770195007,0.9570063694267515,0.2702702702702703,0.16666666666666666,0.7142857142857143,0.962962962962963,0.6391320866922161,0.2248020881284344,rgcn,110,1,11,15169,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.624568668046929,0.02149081763624076,0.17928975718648602,rgcn,22,1,11,15169,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.5645598769187927,0.9729299363057324,0.32,0.2222222222222222,0.5714285714285714,0.9135035656774787,0.12327579098622352,0.2619077450863654,rgcn,33,1,11,15169,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.4753786623477936,0.16560509554140126,0.026022304832713755,0.013182674199623353,1.0,0.8313779618127444,0.03455223431893948,0.23515515257032882,rgcn,44,1,11,15169,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.38,0.014331210191082803,0.022116903633491312,0.011182108626198083,1.0,0.8757763975155279,0.047912432523097015,0.22692002877673906,rgcn,55,3,13,15169,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.9026915113871635,0.12108845298384016,0.238643116123125,rgcn,66,1,11,15169,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.6799999999999999,0.9872611464968153,0.0,0.0,0.0,0.4920634920634921,0.02964463057475024,0.2441415032922037,rgcn,77,1,11,15169,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.06671267540832757,0.006733668530239731,0.20488979848408456,rgcn,88,1,11,15169,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.5170633792877197,0.2515923566878981,0.00423728813559322,0.002150537634408602,0.14285714285714285,0.12399355877616748,0.007081118213467701,0.26460085110114967,rgcn,99,1,11,15169,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.5340216755867004,0.6640127388535032,0.06222222222222222,0.03211009174311927,1.0,0.7646652864044169,0.02503045471712767,0.2816967354096123,temporal_gat,11,1,11,7585,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.29744651483781914,0.008883188243638688,0.21847027965248117,temporal_gat,110,1,11,7585,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.48369163274765015,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.9061421670117323,0.06778261087092206,0.25591823047574735,temporal_gat,22,1,11,7585,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
