epoch,train_loss,validation_loss
1,1.1526762247085571,1.2170954942703247
2,1.1233839988708496,1.2092221975326538
3,1.1233654022216797,1.198212742805481
4,1.1288326978683472,1.1892890930175781
5,1.112863302230835,1.1776623725891113
6,1.1203707456588745,1.1685025691986084
7,1.0930757522583008,1.161716103553772
8,1.0873409509658813,1.1563159227371216
9,1.0763400793075562,1.1534603834152222
10,1.0711572170257568,1.1496368646621704
11,1.058250069618225,1.144781231880188
12,1.0494930744171143,1.1400671005249023
13,1.0265321731567383,1.1356160640716553
14,1.0127816200256348,1.1326849460601807
15,0.9993521571159363,1.1302919387817383
16,1.0020081996917725,1.1260333061218262
17,0.9765837788581848,1.1192288398742676
18,0.9655845761299133,1.112054467201233
19,0.9381811022758484,1.1044996976852417
20,0.9288612604141235,1.0968925952911377
21,0.9095104932785034,1.0933154821395874
22,0.8864920735359192,1.085727334022522
23,0.8951370120048523,1.0719680786132812
24,0.880863606929779,1.0519499778747559
25,0.8661222457885742,1.0250293016433716
26,0.8127732276916504,0.995230495929718
27,0.7984651923179626,0.9609913229942322
28,0.7897193431854248,0.9223078489303589
29,0.7808903455734253,0.8817302584648132
30,0.7314633131027222,0.8384239673614502
31,0.6901578903198242,0.7948214411735535
32,0.6721512079238892,0.7470163702964783
33,0.6715062856674194,0.698789656162262
34,0.6661641597747803,0.6512370109558105
35,0.6369263529777527,0.6037537455558777
36,0.6012421250343323,0.5577135682106018
37,0.5841856598854065,0.5142540335655212
38,0.5912009477615356,0.4718947410583496
39,0.5598717927932739,0.43240949511528015
40,0.4995776414871216,0.39828652143478394
41,0.5056198835372925,0.36703500151634216
42,0.472173273563385,0.3389585614204407
43,0.4315733313560486,0.31398770213127136
44,0.4219924807548523,0.29136937856674194
45,0.4115464389324188,0.271320104598999
46,0.42893022298812866,0.2542710304260254
47,0.4059295952320099,0.24033541977405548
48,0.38489630818367004,0.22912800312042236
49,0.3600388169288635,0.219910129904747
50,0.35456863045692444,0.21271005272865295
