configuration,seed,node_f1,edge_auroc,subgraph_f1,fidelity,stability,completeness,latency_seconds
minus_joint_optimization,11,0.0,0.46787500000000004,1.0,0.0,1.0,1.0,0.00605827300000783
minus_joint_optimization,22,0.06140350877192982,0.6900250000000001,1.0,0.0,0.9294198155403137,1.0,0.023102328499817304
minus_joint_optimization,33,0.023809523809523808,0.84555,1.0,0.0,0.9659380435943603,0.9999712109565735,0.016953929500232334
minus_joint_optimization,44,0.02204724409448819,0.531575,1.0,0.0,0.9395682334899902,0.9999905824661255,0.03392097399978411
minus_joint_optimization,55,0.1037037037037037,0.6438,1.0,0.001768395770341158,0.8877741813659668,1.0,0.020891541999844776
minus_joint_optimization,66,0.1875,0.308475,1.0,4.069324131705798e-05,1.0,1.0,0.014772343499998897
minus_joint_optimization,77,0.0,0.141225,1.0,0.0016766786575317383,1.0,0.9994404911994934,0.009104987999990044
minus_joint_optimization,88,0.2,0.65475,1.0,3.098204615525901e-05,0.7676523804664612,1.0,0.006240692500114164
minus_joint_optimization,99,0.09333333333333334,0.45132500000000003,1.0,0.0019494832959026098,0.9840706348419189,1.0,0.009226723999972819
minus_joint_optimization,110,0.47619047619047616,0.7835,1.0,5.502785825228784e-06,0.7707509875297547,1.0,0.0068112450001081015
minus_consistency_regularization,11,0.0,0.808675,1.0,,,,
minus_consistency_regularization,22,0.06140350877192982,0.6900250000000001,1.0,0.0,0.9531802058219909,1.0,0.020696152000027723
minus_consistency_regularization,33,0.018518518518518517,0.845425,1.0,0.0,0.9940298557281494,1.0,0.013247435000039331
minus_consistency_regularization,44,0.02204724409448819,0.5316000000000001,1.0,0.0,0.9547200560569763,0.9999987483024597,0.03360965850015418
minus_consistency_regularization,55,0.11570247933884298,0.6433,1.0,0.0022572712041437626,0.8933729529380798,1.0,0.017283955000038986
minus_consistency_regularization,66,0.1875,0.313775,1.0,5.6601405958645046e-05,0.9751923084259033,0.9999918937683105,0.013081996499977322
minus_consistency_regularization,77,0.0,0.14037499999999997,1.0,0.0016546398401260376,1.0,0.9993579387664795,0.011830553999743643
minus_consistency_regularization,88,0.2,0.6551,1.0,3.2548636227147654e-05,0.8973819136619567,1.0,0.011705459500262805
minus_consistency_regularization,99,0.08974358974358974,0.45039999999999997,1.0,0.001668489072471857,0.9821165919303894,1.0,0.024028291500144405
minus_consistency_regularization,110,0.47619047619047616,0.7838249999999999,1.0,1.5750527381896973e-05,0.7781291246414185,1.0,0.01032908499973928
minus_prototype_learning,11,0.0,0.46785,1.0,0.0,1.0,1.0,0.011420018000080745
minus_prototype_learning,22,0.06140350877192982,0.6899500000000001,1.0,0.0,0.9496447086334229,1.0,0.023515728999882413
minus_prototype_learning,33,0.023809523809523808,0.845525,1.0,0.0,0.9720427036285401,1.0,0.014678255000035278
minus_prototype_learning,44,0.02204724409448819,0.531575,1.0,0.0,0.9530039668083191,0.9999979734420776,0.02819425300003786
minus_prototype_learning,55,0.1037037037037037,0.64385,1.0,0.001766028581187129,0.9065248131752014,1.0,0.017138398000042798
minus_prototype_learning,66,0.1875,0.308575,1.0,2.270100412715692e-05,0.9751923084259033,1.0,0.012245651500279564
minus_prototype_learning,77,0.0,0.1412,1.0,0.0016763955354690552,1.0,0.99944007396698,0.00901389199998448
minus_prototype_learning,88,0.2,0.65475,1.0,2.8277343517402187e-05,0.8796155691146851,1.0,0.007321194500036654
