configuration,metric,n_seeds,mean,sd,ci95_low,ci95_high
minus_joint_optimization,edge_auroc,10,0.5518099999999999,0.21691508137466556,0.3966382985294442,0.7069817014705556
minus_joint_optimization,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_joint_optimization,fidelity,10,0.0005471735797073051,0.0008658725134936217,-7.223430251053476e-05,0.0011665814619251451
minus_joint_optimization,stability,10,0.9245174276828767,0.08957088784487272,0.8604422744891231,0.9885925808766303
minus_joint_optimization,completeness,10,0.9999402284622192,0.00017582858746304473,0.9998144482679104,1.000066008656528
minus_joint_optimization,latency_seconds,10,0.014708303999987038,0.009148148532086087,0.008164112770713858,0.021252495229260218
minus_prototype_learning,node_f1,10,0.11679877899034552,0.14521363818596383,0.01291920007289088,0.22067835790780016
minus_prototype_learning,edge_auroc,10,0.5518075,0.21689927195269953,0.3966471079086271,0.7069678920913729
minus_prototype_learning,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_prototype_learning,fidelity,10,0.0005448929544400016,0.0008656542335071767,-7.435877968209955e-05,0.0011641446885621027
minus_prototype_learning,stability,10,0.9431158208847046,0.061362598262859065,0.8992196624490648,0.9870119793203443
minus_prototype_learning,completeness,10,0.9999436438083649,0.00017693804815454588,0.9998170699536886,1.0000702176630412
minus_prototype_learning,latency_seconds,10,0.013869800749966998,0.007239861618545824,0.00869071574286829,0.019048885757065707
minus_temporal_attention,node_f1,10,0.11744728128803583,0.14508820393050575,0.013657432631468402,0.22123712994460326
minus_temporal_attention,edge_auroc,10,0.5516637500000001,0.2167691141970914,0.39659646715796715,0.7067310328420331
minus_temporal_attention,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_temporal_attention,fidelity,10,0.0006336350111268985,0.0010134257032211548,-9.132606436053185e-05,0.0013585960866143287
minus_temporal_attention,stability,10,0.9416779923439027,0.06456330945450076,0.8954921830533045,0.9878638016345009
minus_temporal_attention,completeness,10,0.999963128566742,0.00011572078072600493,0.9998803469070853,1.0000459102263985
minus_temporal_attention,latency_seconds,10,0.008891823100020702,0.0034172284262137917,0.0064472851460494005,0.011336361053992003
minus_temporal_stream,node_f1,10,0.12848153304847304,0.15713779649537143,0.016071925136496176,0.2408911409604499
minus_temporal_stream,edge_auroc,10,0.61237625,0.22593713853897626,0.4507505576308925,0.7740019423691074
minus_temporal_stream,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_temporal_stream,fidelity,10,0.00019784364785664367,0.0004007071899513655,-8.880500774716458e-05,0.0004844923034604519
minus_temporal_stream,stability,10,0.9229309773445131,0.06389981511562237,0.877219803311304,0.9686421513777222
minus_temporal_stream,completeness,10,0.9999978899955749,3.594467041202383e-06,0.9999953186687537,1.000000461322396
minus_temporal_stream,latency_seconds,10,0.013122040350003772,0.00879015783436869,0.006833940238615987,0.019410140461391556
