configuration,metric,n_seeds,mean,sd,ci95_low,ci95_high
full,node_f1,10,0.33742121677605547,0.320857870830253,0.10789332304259047,0.5669491105095205
full,edge_auroc,10,0.9978880494505494,0.0022162920757820537,0.9963026096084907,0.9994734892926082
full,subgraph_f1,10,1.0,0.0,1.0,1.0
full,fidelity,9,0.1275346792406506,0.060512274882108946,0.08102082720439913,0.17404853127690206
full,stability,9,0.9495479663213094,0.07180226635919103,0.8943558586075343,1.0047400740350847
full,completeness,9,0.9626059730847677,0.04718229663574942,0.9263384493679451,0.9988734968015903
full,latency_seconds,9,0.005947087166734693,0.0019125395183943244,0.004476979154015128,0.0074171951794542584
minus_consistency_regularization,node_f1,10,0.32333333333333336,0.2846049894151541,0.11973918868149497,0.5269274779851718
minus_consistency_regularization,edge_auroc,10,0.9963899381868133,0.002932772534212,0.9942919591008237,0.998487917272803
minus_consistency_regularization,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_consistency_regularization,fidelity,10,0.14777802079916,0.07761979617415374,0.09225216356594373,0.20330387803237626
minus_consistency_regularization,stability,10,0.9562080317735673,0.05779294175229355,0.9148654517747037,0.9975506117724309
minus_consistency_regularization,completeness,10,0.956464022397995,0.0551293473824264,0.9170268630263205,0.9959011817696695
minus_consistency_regularization,latency_seconds,10,0.005595235000100729,0.0006347855112182151,0.0051411368008406596,0.006049333199360798
minus_gating_mechanism,node_f1,10,0.16207764100759184,0.18065346736140872,0.03284593554306203,0.29130934647212164
minus_gating_mechanism,edge_auroc,10,0.9997252747252746,0.00031815343657708736,0.9994976814672609,0.9999528679832883
minus_gating_mechanism,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_gating_mechanism,fidelity,10,0.08259603520855308,0.04501114132462799,0.05039700441635887,0.11479506600074728
minus_gating_mechanism,stability,10,0.9247513139247895,0.11063881643659997,0.845605072518447,1.003897555331132
minus_gating_mechanism,completeness,10,0.9574795067310333,0.03265109505198773,0.9341223203980893,0.9808366930639774
minus_gating_mechanism,latency_seconds,10,0.006512237750075656,0.00325597023924686,0.004183056953795457,0.008841418546355855
minus_heterogeneous_stream,node_f1,10,0.19454545454545452,0.346256379373892,-0.05315143767605751,0.44224234676696655
minus_heterogeneous_stream,edge_auroc,10,0.9998626373626374,0.000353280663049727,0.9996099156005789,1.0001153591246958
minus_heterogeneous_stream,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_heterogeneous_stream,fidelity,8,0.07211991120129824,0.09549974372993253,-0.0077198725672011775,0.15195969496979767
minus_heterogeneous_stream,stability,8,0.8766430653631687,0.1449122440901568,0.7554933975034862,0.9977927332228512
minus_heterogeneous_stream,completeness,8,0.965871088206768,0.0617085711353983,0.9142814316936998,1.0174607447198363
minus_heterogeneous_stream,latency_seconds,8,0.006717653874972029,0.0021739337644523463,0.004900199765652632,0.008535107984291428
minus_joint_optimization,node_f1,10,0.30322038492816483,0.27840187184693976,0.10406368326729651,0.5023770865890331
minus_joint_optimization,edge_auroc,10,0.9978451236263736,0.002749919412243081,0.9958779497839627,0.9998122974687844
minus_joint_optimization,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_joint_optimization,fidelity,10,0.1630618989467621,0.06705834717366482,0.11509124719310257,0.21103255070042162
minus_joint_optimization,stability,10,0.9580116987228393,0.056212344618494836,0.9177998097991961,0.9982235876464826
minus_joint_optimization,completeness,10,0.9576831817626953,0.04640308172627065,0.9244884167914864,0.9908779467339042
minus_joint_optimization,latency_seconds,10,0.006181915600063803,0.001353069177940217,0.005213988219368219,0.007149842980759387
minus_prototype_learning,node_f1,10,0.3271345029239766,0.2589251977245778,0.14191057460188009,0.5123584312460732
minus_prototype_learning,edge_auroc,10,0.9975832760989011,0.002545247602357025,0.9957625156491497,0.9994040365486524
minus_prototype_learning,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_prototype_learning,fidelity,10,0.16265698298811912,0.06798968385072418,0.1140200931107414,0.21129387286549683
minus_prototype_learning,stability,10,0.9628609120845795,0.05154917172876455,0.92598485609134,0.999736968077819
minus_prototype_learning,completeness,10,0.9500466763973237,0.043159007591389915,0.9191725822619825,0.9809207705326648
minus_prototype_learning,latency_seconds,10,0.00841617160003807,0.0019101193984523406,0.007049754497126656,0.009782588702949483
minus_temporal_attention,node_f1,10,0.44444444444444436,0.3260521641047965,0.21120077714539773,0.677688111743491
minus_temporal_attention,edge_auroc,10,0.9991028502747253,0.0009225335648155217,0.9984429095181448,0.9997627910313058
minus_temporal_attention,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_temporal_attention,fidelity,10,0.13008149117231368,0.0869488451627617,0.06788203431895809,0.19228094802566928
minus_temporal_attention,stability,10,0.9236591625213624,0.11048603515414077,0.8446222142605302,1.0026961107821946
minus_temporal_attention,completeness,10,0.9657728135585785,0.02958097716777614,0.9446118572562493,0.9869337698609076
minus_temporal_attention,latency_seconds,10,0.005760151899949051,0.0017640207603321406,0.0044982474667698315,0.00702205633312827
minus_temporal_stream,node_f1,10,0.36752136752136755,0.3802485026810796,0.09550797514345244,0.6395347598992827
minus_temporal_stream,edge_auroc,10,0.9973643543956043,0.002560337402309274,0.9955327993532475,0.9991959094379612
minus_temporal_stream,subgraph_f1,10,1.0,0.0,1.0,1.0
minus_temporal_stream,fidelity,9,0.09595768704699974,0.08421407297712591,0.03122502020445382,0.16069035388954567
minus_temporal_stream,stability,9,0.9467078195677863,0.0702767079130276,0.8926883598824606,1.000727279253112
minus_temporal_stream,completeness,9,0.9819972912470499,0.02801946693337752,0.9604596223755216,1.0035349601185783
minus_temporal_stream,latency_seconds,9,0.007333032444497197,0.002870275432298425,0.005126743439145499,0.009539321449848894
