dataset,metric,n_seeds,mean,sd,ci95_low,ci95_high
streamspot,explanation_completeness,5,0.9999994158744812,8.327602957045069e-07,0.9999983818660029,1.0000004498829596
streamspot,explanation_latency_seconds,5,0.013473638300001766,0.002585453006864139,0.01026337438233089,0.016683902217672644
streamspot,robustness_attack_success,5,0.0,0.0,0.0,0.0
streamspot,robustness_explanation_fidelity,5,0.002615401928778738,0.0019509388313607788,0.00019299141918032933,0.005037812438377146
theia,node_f1,5,0.9797979797979798,0.0,0.9797979797979798,0.9797979797979798
theia,node_auroc,5,0.9751720232681848,0.01115112412340632,0.9613260739046496,0.9890179726317199
theia,node_auprc,5,0.9718966618181156,0.005690686430754528,0.964830741351981,0.9789625822842503
theia,node_brier,5,0.22298108433348468,0.028959220644453026,0.18702346264322808,0.2589387060237413
theia,node_false_alarms_per_window,5,0.0,0.0,0.0,0.0
theia,edge_f1,5,0.9743373955450538,0.005259849725674961,0.9678064295047213,0.9808683615853864
theia,edge_auroc,5,0.9873750000000001,0.008057120298220661,0.9773707637965027,0.9973792362034976
theia,edge_auprc,5,0.9833588189666937,0.007496055807845296,0.974051236341566,0.9926664015918215
theia,edge_brier,5,0.2103353333093735,0.03418624753277081,0.16788750051424967,0.25278316610449736
theia,subgraph_f1,5,0.5666666666666667,0.09128709291752767,0.4533187698902905,0.6800145634430428
theia,explanation_fidelity,5,0.12243063002824783,0.01943400588976678,0.09830012457404447,0.1465611354824512
theia,explanation_stability,5,1.0,0.0,1.0,1.0
theia,explanation_sparsity,5,0.0,0.0,0.0,0.0
theia,explanation_completeness,5,1.0,0.0,1.0,1.0
theia,explanation_latency_seconds,5,0.004634074199930183,0.000780969129619324,0.0036643729479733374,0.005603775451887028
theia,robustness_attack_success,5,0.3865979164838791,0.0,0.3865979164838791,0.3865979164838791
theia,robustness_explanation_fidelity,5,0.12242946177721023,0.019436366084923096,0.09829602575365254,0.14656289780076792
trace,node_f1,5,0.2760421369450715,0.41441673209371743,-0.23852419954895276,0.7906084734390958
trace,node_auroc,5,0.6917155903457274,0.399628064563811,0.1955118099049929,1.187919370786462
trace,node_auprc,5,0.23334905283791177,0.4300983684999096,-0.300688607014603,0.7673867126904265
trace,node_brier,5,0.2246457382472485,0.032324889688654296,0.1845090864749383,0.2647823900195587
trace,node_false_alarms_per_window,5,114.0,182.82915522421473,-113.0123798639155,341.0123798639155
trace,edge_f1,5,0.6448440860215053,0.3791184663268213,0.1741063353292644,1.1155818367137462
trace,edge_auroc,5,0.9938100961538462,0.012506908676787356,0.978280717921057,1.0093394743866353
trace,edge_auprc,5,0.9277344458530985,0.15205414445325344,0.7389342889078188,1.1165346027983782
trace,edge_brier,5,0.1880077955383525,0.05067448391086573,0.12508711323867455,0.25092847783803046
trace,subgraph_f1,5,1.0,0.0,1.0,1.0
trace,explanation_fidelity,5,0.00952203093766002,0.012295799788189074,-0.005745220988455851,0.02478928286377589
trace,explanation_stability,5,0.8845040291547775,0.1483942931726658,0.7002481777833834,1.0687598805261715
trace,explanation_sparsity,5,0.25163349283825254,0.3529339198418742,-0.18659184917433663,0.6898588348508417
trace,explanation_completeness,5,1.0,0.0,1.0,1.0
trace,explanation_latency_seconds,5,0.004451081299976067,0.0011112565976154017,0.003071273989950614,0.005830888610001521
trace,robustness_attack_success,4,0.0,0.0,0.0,0.0
trace,robustness_explanation_fidelity,5,0.008647731877863407,0.012180189329411874,-0.006475970703772994,0.023771434459499807
