epoch,train_loss,validation_loss
1,0.6877200603485107,0.6915141344070435
2,0.6770457029342651,0.6907815337181091
3,0.6666331887245178,0.6906442046165466
4,0.6565364003181458,0.691143274307251
5,0.6468868851661682,0.692173957824707
6,0.6354178190231323,0.6936861276626587
7,0.6262591481208801,0.6958835124969482
8,0.6161568760871887,0.6987602710723877
9,0.6042450070381165,0.702163815498352
10,0.5933688282966614,0.7062842845916748
11,0.583258867263794,0.7111924886703491
12,0.5699977874755859,0.7169079184532166
13,0.5600284337997437,0.7236520051956177
