epoch,train_loss,validation_loss
1,1.3749624490737915,1.4128342866897583
2,1.3092819452285767,1.4075850248336792
3,1.2410614490509033,1.4053277969360352
4,1.1985031366348267,1.405166506767273
5,1.1769318580627441,1.407027006149292
6,1.0992687940597534,1.4079217910766602
7,1.0660587549209595,1.41048264503479
8,1.0669225454330444,1.4160795211791992
9,1.0858293771743774,1.4236855506896973
10,1.0003881454467773,1.433524489402771
11,0.9498831629753113,1.4487934112548828
12,0.9356405138969421,1.4653459787368774
13,0.9141172170639038,1.4844387769699097
14,0.8580338358879089,1.5063461065292358
