epoch,train_loss,validation_loss,train_total,train_node,train_edge,train_link_contrastive,train_subgraph,train_explanation,train_importance_alignment,train_temporal_consistency,train_cross_layer_consistency,validation_total,validation_node,validation_edge,validation_link_contrastive,validation_subgraph,validation_explanation,validation_importance_alignment,validation_temporal_consistency,validation_cross_layer_consistency
1,4.520412921905518,4.274038791656494,4.520412921905518,1.3219932317733765,1.0970591306686401,1.4014275074005127,0.30956798791885376,3.7223947048187256,1.0355634689331055,0.3625120222568512,0.0,4.274038791656494,1.168605923652649,1.0130194425582886,0.6739146709442139,1.1027520895004272,3.157468318939209,1.0366075038909912,0.0,0.0
2,3.980419158935547,4.0596022605896,3.980419158935547,1.1348246335983276,1.054583191871643,1.2717173099517822,0.3082970082759857,1.9429755210876465,1.0053980350494385,0.33399271965026855,0.0,4.0596022605896,1.1546533107757568,0.9743345379829407,0.6658663153648376,1.1014573574066162,1.6329059600830078,0.9977489113807678,0.0,0.0
3,3.5489556789398193,3.9621942043304443,3.5489556789398193,1.0404026508331299,0.9626213312149048,1.0803502798080444,0.3078096807003021,1.4492862224578857,0.9154619574546814,0.2568584978580475,0.0,3.9621942043304443,1.1377419233322144,0.9378719329833984,0.6585754156112671,1.1008799076080322,1.2712469100952148,0.954582691192627,0.0,0.0
4,3.3301150798797607,3.892948865890503,3.3301150798797607,0.8994027376174927,0.9279251098632812,1.0602190494537354,0.3065571188926697,1.2702327966690063,0.8895456194877625,0.1797550767660141,0.0,3.892948865890503,1.1186888217926025,0.9048760533332825,0.6502243280410767,1.0997095108032227,1.1945027112960815,0.9102816581726074,0.0,0.0
5,3.201601028442383,3.8176820278167725,3.201601028442383,0.8244326710700989,0.8632532358169556,1.0708638429641724,0.3056528568267822,1.273795247077942,0.801660418510437,0.20038114488124847,0.0,3.8176820278167725,1.0985115766525269,0.873598039150238,0.6373881697654724,1.0972621440887451,1.109220027923584,0.8662056922912598,0.0,0.0
6,3.057061195373535,3.74322509765625,3.057061195373535,0.8188854455947876,0.8170281648635864,0.9803696274757385,0.30420395731925964,1.2739421129226685,0.7419575452804565,0.1835983544588089,0.0,3.74322509765625,1.0757192373275757,0.8421832919120789,0.6304251551628113,1.0936557054519653,1.0124164819717407,0.817028820514679,0.0,0.0
7,3.064365863800049,3.6973955631256104,3.064365863800049,0.7916551232337952,0.7938423752784729,0.9866347312927246,0.3050592839717865,1.1594758033752441,0.7160999774932861,1.4245390892028809,0.0,3.6973955631256104,1.0646034479141235,0.8124821186065674,0.6372451186180115,1.0924098491668701,0.9065519571304321,0.7675353288650513,0.0,0.0
8,2.9698028564453125,3.5865514278411865,2.9698028564453125,0.8199800848960876,0.7397456169128418,0.9888418316841125,0.30082985758781433,1.0818631649017334,0.6406470537185669,0.24438318610191345,0.0,3.5865514278411865,1.0261179208755493,0.7828749418258667,0.6111195683479309,1.0851995944976807,0.8123934864997864,0.7141623497009277,0.0,0.0
9,2.678844451904297,3.4835731983184814,2.678844451904297,0.7230613827705383,0.6935818791389465,0.8588700294494629,0.3014064431190491,0.9363983273506165,0.5883014798164368,0.1657031923532486,0.0,3.4835731983184814,0.9836761951446533,0.7526482939720154,0.5951008200645447,1.0767439603805542,0.7540394067764282,0.6599916815757751,0.0,0.0
10,2.673912525177002,3.3768317699432373,2.673912525177002,0.7143307328224182,0.6714012026786804,0.8928282856941223,0.29957032203674316,0.8408023118972778,0.5530160665512085,0.23403415083885193,0.0,3.3768317699432373,0.9378222227096558,0.7215777635574341,0.5800827741622925,1.065819501876831,0.7152930498123169,0.6059146523475647,0.0,0.0
11,2.4084270000457764,3.277700424194336,2.4084270000457764,0.7188851833343506,0.6079159379005432,0.7068642973899841,0.2972000241279602,0.7177929878234863,0.4995309114456177,0.1156461238861084,0.0,3.277700424194336,0.8941514492034912,0.6893534064292908,0.5708500146865845,1.0546070337295532,0.6873844861984253,0.5552176237106323,0.0,0.0
12,2.473074197769165,3.193478584289551,2.473074197769165,0.7389704585075378,0.5899577140808105,0.7696945667266846,0.2965373992919922,0.6579075455665588,0.46928149461746216,0.24246908724308014,0.0,3.193478584289551,0.8412482738494873,0.6563991904258728,0.5888736248016357,1.0400017499923706,0.6695550680160522,0.5065310001373291,0.0,0.0
13,2.2928717136383057,3.0659961700439453,2.2928717136383057,0.7336747646331787,0.54950350522995,0.6498753428459167,0.2952091097831726,0.585746169090271,0.4219142198562622,0.12068213522434235,0.0,3.0659961700439453,0.7954043745994568,0.6229584813117981,0.5565895438194275,1.025336503982544,0.657072126865387,0.4617921710014343,0.0,0.0
14,2.4062180519104004,3.076232671737671,2.4062180519104004,0.7078915238380432,0.4954991340637207,0.7903305292129517,0.2978830933570862,0.5575812458992004,0.40129998326301575,1.1771100759506226,0.0,3.076232671737671,0.7714731097221375,0.5879440903663635,0.6338012218475342,1.0228431224822998,0.6017113924026489,0.4206637740135193,0.0,0.0
15,2.2426962852478027,2.931919574737549,2.2426962852478027,0.6595683097839355,0.4838361144065857,0.75112384557724,0.2897469401359558,0.49977484345436096,0.3545570969581604,0.16886521875858307,0.0,2.931919574737549,0.7128971815109253,0.5543277263641357,0.6035300493240356,1.0001808404922485,0.6098363399505615,0.38471511006355286,0.0,0.0
16,2.250438928604126,2.9422385692596436,2.250438928604126,0.6615962982177734,0.4525707960128784,0.7872864603996277,0.2906840145587921,0.5212931632995605,0.3728640079498291,0.12344235181808472,0.0,2.9422385692596436,0.669255793094635,0.5225105881690979,0.7116409540176392,0.9767560958862305,0.6207504272460938,0.3563392460346222,0.0,0.0
17,2.165374755859375,2.8843820095062256,2.165374755859375,0.6742802262306213,0.4306088387966156,0.7190162539482117,0.29184404015541077,0.45470869541168213,0.3270413875579834,0.08308784663677216,0.0,2.8843820095062256,0.6578442454338074,0.49373623728752136,0.7044955492019653,0.9666606783866882,0.6164537072181702,0.33585113286972046,0.0,0.0
18,2.152637243270874,2.7438759803771973,2.152637243270874,0.6306319236755371,0.38146576285362244,0.8029641509056091,0.2873322069644928,0.45033931732177734,0.292784184217453,0.10418187826871872,0.0,2.7438759803771973,0.6281396746635437,0.4650759696960449,0.6444588303565979,0.9448582530021667,0.6134324073791504,0.315969318151474,0.0,0.0
19,2.0416884422302246,2.788301467895508,2.0416884422302246,0.6291864514350891,0.35274970531463623,0.723383903503418,0.28616005182266235,0.4378294348716736,0.289307177066803,0.128509059548378,0.0,2.788301467895508,0.6165330410003662,0.4398340582847595,0.7402071952819824,0.9304599761962891,0.6126705408096313,0.30183157324790955,0.0,0.0
20,1.861380934715271,2.8052897453308105,1.861380934715271,0.6470040678977966,0.33371061086654663,0.5481866002082825,0.28505322337150574,0.4297627806663513,0.2923094928264618,0.0890011116862297,0.0,2.8052897453308105,0.609923779964447,0.41916623711586,0.7990918159484863,0.9159125089645386,0.611953616142273,0.2925385534763336,0.0,0.0
21,1.962812900543213,2.6011297702789307,1.962812900543213,0.6162403225898743,0.31396347284317017,0.6918720602989197,0.27905935049057007,0.4257398247718811,0.2824098765850067,0.38207611441612244,0.0,2.6011297702789307,0.6064871549606323,0.39740923047065735,0.6231220960617065,0.9198621511459351,0.5424907803535461,0.27594250440597534,0.0,0.0
22,1.868434190750122,2.552431583404541,1.868434190750122,0.6289275884628296,0.2783163785934448,0.6366323828697205,0.27924102544784546,0.37753915786743164,0.22839514911174774,0.15125469863414764,0.0,2.552431583404541,0.5871261358261108,0.3835337162017822,0.6290863156318665,0.8963548541069031,0.5633043050765991,0.2757629156112671,0.0,0.0
23,1.7922097444534302,2.60115385055542,1.7922097444534302,0.6101899147033691,0.2995165288448334,0.5574557781219482,0.27948737144470215,0.4040190875530243,0.273843377828598,0.10316328704357147,0.0,2.60115385055542,0.5833897590637207,0.36984139680862427,0.7124597430229187,0.8782649040222168,0.5719798803329468,0.27580225467681885,0.0,0.0
24,1.8467775583267212,2.465517044067383,1.8467775583267212,0.5866620540618896,0.260268896818161,0.6745826601982117,0.2762838304042816,0.3690776824951172,0.22849354147911072,0.2414448857307434,0.0,2.465517044067383,0.5860192775726318,0.3580189347267151,0.6008304357528687,0.8628036379814148,0.5784458518028259,0.27477896213531494,0.0,0.0
25,1.772030234336853,2.377264976501465,1.772030234336853,0.603510856628418,0.2686893343925476,0.5847590565681458,0.2758156657218933,0.35929250717163086,0.2295331060886383,0.0665205791592598,0.0,2.377264976501465,0.6008521914482117,0.34843406081199646,0.5099338293075562,0.8613469004631042,0.566980242729187,0.27134957909584045,0.0,0.0
26,1.7333533763885498,2.4339089393615723,1.7333533763885498,0.574423611164093,0.20142042636871338,0.6486284136772156,0.2710806429386139,0.3184168040752411,0.17372149229049683,0.11917391419410706,0.0,2.4339089393615723,0.5915858745574951,0.3381406366825104,0.6022395491600037,0.8446236848831177,0.5731924176216125,0.27023938298225403,0.0,0.0
27,1.6666128635406494,2.415830373764038,1.6666128635406494,0.5688125491142273,0.23328351974487305,0.5547739267349243,0.27358973026275635,0.3310699462890625,0.2000322937965393,0.060922443866729736,0.0,2.415830373764038,0.5892814993858337,0.33155861496925354,0.6061801314353943,0.8311176300048828,0.576924204826355,0.2717398405075073,0.0,0.0
