epoch,train_loss,validation_loss,train_total,train_node,train_edge,train_link_contrastive,train_subgraph,train_explanation,train_importance_alignment,train_temporal_consistency,train_cross_layer_consistency,validation_total,validation_node,validation_edge,validation_link_contrastive,validation_subgraph,validation_explanation,validation_importance_alignment,validation_temporal_consistency,validation_cross_layer_consistency
1,15.419790267944336,4.019163608551025,15.419790267944336,1.4098867177963257,1.1475372314453125,1.495795488357544,0.5857816934585571,4.603607177734375,1.1056156158447266,206.4084930419922,0.00018055156397167593,4.019163608551025,1.301735281944275,1.1119885444641113,0.6824548840522766,0.7293139696121216,1.9367034435272217,1.0904597043991089,0.0,2.13953317143023e-05
2,13.932476043701172,3.9742112159729004,13.932476043701172,1.358005166053772,1.0958244800567627,1.3604471683502197,0.575502336025238,2.46952223777771,1.0831588506698608,185.9148406982422,0.00014183191524352878,3.9742112159729004,1.2998794317245483,1.1108070611953735,0.6879711151123047,0.7244728803634644,1.5108003616333008,1.0891625881195068,0.0,2.078747274936177e-05
3,11.154912948608398,3.988910436630249,11.154912948608398,1.218705177307129,1.0515416860580444,1.4764482975006104,0.5920717716217041,1.3153469562530518,1.0211955308914185,133.69216918945312,0.00013551117444876581,3.988910436630249,1.3011246919631958,1.1100283861160278,0.6901789903640747,0.7200970649719238,1.6748065948486328,1.0901144742965698,0.0,2.0521516489679925e-05
4,4.334184169769287,3.9995672702789307,4.334184169769287,1.229984998703003,1.0483566522598267,1.321123719215393,0.5774173736572266,1.0917046070098877,0.9924421906471252,0.9625853300094604,9.46082072914578e-05,3.9995672702789307,1.3033502101898193,1.108432412147522,0.6860765218734741,0.7187371253967285,1.8297028541564941,1.093489170074463,0.0,2.0288676751079038e-05
5,4.340139865875244,4.0094990730285645,4.340139865875244,1.3947210311889648,1.0117069482803345,1.2356398105621338,0.5774620771408081,1.011187195777893,0.9443960189819336,0.3898003399372101,6.294194463407621e-05,4.0094990730285645,1.3065930604934692,1.1074241399765015,0.6820671558380127,0.7183524370193481,1.9506192207336426,1.0975638628005981,0.0,1.9531295038177632e-05
6,4.2118000984191895,4.017629623413086,4.2118000984191895,1.3208332061767578,0.9860924482345581,1.2201040983200073,0.5725444555282593,0.9663269519805908,0.9078393578529358,0.3118354380130768,6.249135185498744e-05,4.017629623413086,1.3093910217285156,1.107949137687683,0.6797485947608948,0.7174032330513,2.031372308731079,1.102819561958313,0.0,1.8158027160097845e-05
7,4.150951862335205,4.02120304107666,4.150951862335205,1.3994003534317017,0.9582489132881165,1.1123108863830566,0.5776119828224182,0.953210711479187,0.8936982750892639,0.16114428639411926,6.27475674264133e-05,4.02120304107666,1.3121923208236694,1.108849048614502,0.6750758290290833,0.7163249254226685,2.087604284286499,1.1089774370193481,0.0,1.6519295968464576e-05
8,9.406951904296875,4.0323615074157715,9.406951904296875,1.306018590927124,0.9209885597229004,1.0231283903121948,0.5780197978019714,0.913913905620575,0.8547305464744568,109.74805450439453,8.698734018253163e-05,4.0323615074157715,1.3173409700393677,1.1102995872497559,0.6786947846412659,0.7150499820709229,2.1097607612609863,1.1165738105773926,0.0,1.5254315258061979e-05
9,9.659225463867188,4.056199550628662,9.659225463867188,1.2485466003417969,0.8876328468322754,1.2065085172653198,0.5811095237731934,0.8965392708778381,0.8363951444625854,112.9154281616211,0.0001054459935403429,4.056199550628662,1.3194406032562256,1.111767292022705,0.6942858099937439,0.7157392501831055,2.149660348892212,1.125055193901062,0.0,1.4309692232927773e-05
10,6.590071678161621,4.089284896850586,6.590071678161621,1.3260385990142822,0.9083914160728455,0.964389979839325,0.5762185454368591,0.8891887664794922,0.8279262185096741,54.522220611572266,0.00013151468010619283,4.089284896850586,1.3205857276916504,1.1118422746658325,0.7211695313453674,0.711696445941925,2.2399063110351562,1.134672999382019,0.0,1.3483285329130013e-05
11,3.668327569961548,4.074495792388916,3.668327569961548,1.0956758260726929,0.9158511161804199,0.978434681892395,0.5767170190811157,0.8959259390830994,0.8337178230285645,0.24105678498744965,0.00017432142340112478,4.074495792388916,1.3257843255996704,1.1144977807998657,0.6992890238761902,0.707443356513977,2.274808883666992,1.1414963006973267,0.0,1.2725312444672454e-05
12,3.8352863788604736,4.066712856292725,3.8352863788604736,1.1800684928894043,0.9011856913566589,1.0771499872207642,0.5766481161117554,0.8717057108879089,0.8102179765701294,0.2611806094646454,0.00020470540039241314,4.066712856292725,1.330938696861267,1.1177493333816528,0.6852566003799438,0.705013632774353,2.2775416374206543,1.1493916511535645,0.0,1.2245437574165408e-05
