epoch,train_loss,validation_loss,train_total,train_node,train_edge,train_link_contrastive,train_subgraph,train_explanation,train_importance_alignment,train_temporal_consistency,train_cross_layer_consistency,validation_total,validation_node,validation_edge,validation_link_contrastive,validation_subgraph,validation_explanation,validation_importance_alignment,validation_temporal_consistency,validation_cross_layer_consistency
1,4.565685749053955,4.321058750152588,4.565685749053955,1.20586359500885,1.2771207094192505,1.4031580686569214,0.31272411346435547,3.500926971435547,1.0975407361984253,0.3340708613395691,0.0011546448804438114,4.321058750152588,1.1647207736968994,1.1182595491409302,0.6401416063308716,1.1104485988616943,2.874756336212158,1.057008981704712,0.0,0.0006448749336414039
2,3.8589019775390625,4.136388301849365,3.8589019775390625,1.0747236013412476,1.118215560913086,1.1472066640853882,0.313239187002182,1.898507833480835,0.9826456308364868,0.31271040439605713,0.0015263950917869806,4.136388301849365,1.1569230556488037,1.0672500133514404,0.6397494673728943,1.109485387802124,1.6296272277832031,1.0088322162628174,0.0,0.0008837379282340407
3,3.6944198608398438,4.056402683258057,3.6944198608398438,1.125072717666626,1.0886256694793701,1.0086679458618164,0.31286096572875977,1.433762788772583,0.9495861530303955,0.3155612051486969,0.001906492980197072,4.056402683258057,1.1416652202606201,1.0239958763122559,0.6295963525772095,1.108271598815918,1.528546929359436,0.9633172154426575,0.0,0.0009397491812705994
4,3.5701100826263428,3.9798171520233154,3.5701100826263428,1.0179086923599243,1.0153710842132568,1.0616028308868408,0.31302791833877563,1.5093421936035156,0.9037335515022278,0.2244868129491806,0.0020481690298765898,3.9798171520233154,1.1230013370513916,0.9881179332733154,0.6228964328765869,1.1068652868270874,1.3891669511795044,0.9187543392181396,0.0,0.0009763648849911988
5,3.2292351722717285,3.8837101459503174,3.2292351722717285,0.906374990940094,0.966671884059906,0.9040847420692444,0.31104084849357605,1.3128026723861694,0.8323150873184204,0.194809690117836,0.0020993505604565144,3.8837101459503174,1.0968893766403198,0.9565999507904053,0.6115814447402954,1.104843020439148,1.1377577781677246,0.8755037784576416,0.0,0.0010320186847820878
6,3.190227508544922,3.7887825965881348,3.190227508544922,0.8992611169815063,0.9280025959014893,0.9177312850952148,0.31010866165161133,1.2091941833496094,0.7696186304092407,0.2831997275352478,0.002222421346232295,3.7887825965881348,1.0668468475341797,0.9251715540885925,0.6007809638977051,1.1011393070220947,0.9482342600822449,0.831649899482727,0.0,0.0010274105006828904
7,3.2870194911956787,3.719742774963379,3.2870194911956787,0.86551433801651,0.8881710767745972,1.0205674171447754,0.3097062408924103,1.1127991676330566,0.7026150822639465,1.8346964120864868,0.0022790052462369204,3.719742774963379,1.046385645866394,0.8917303681373596,0.5997315645217896,1.0960395336151123,0.8583630919456482,0.7811059355735779,0.0,0.0009688393911346793
8,3.0623440742492676,3.6267220973968506,3.0623440742492676,0.8308867812156677,0.8582985401153564,0.9508104920387268,0.30825546383857727,0.9821226596832275,0.6732145547866821,0.31669169664382935,0.0023051947355270386,3.6267220973968506,1.0089739561080933,0.858435869216919,0.5853513479232788,1.0928430557250977,0.8109989166259766,0.7367426753044128,0.0,0.0008966871537268162
9,2.829789876937866,3.5570526123046875,2.829789876937866,0.8347184658050537,0.8237112760543823,0.7629867792129517,0.30944693088531494,0.8893045783042908,0.6240980625152588,0.19901061058044434,0.0022598691284656525,3.5570526123046875,0.96574467420578,0.8272291421890259,0.5940544605255127,1.0886049270629883,0.8140131235122681,0.6934137940406799,0.0,0.000901346851605922
10,2.829745292663574,3.54418683052063,2.829745292663574,0.8113523721694946,0.8146734237670898,0.8008460998535156,0.30731701850891113,0.7975482940673828,0.5905430316925049,0.31511759757995605,0.0022945553064346313,3.54418683052063,0.9241405725479126,0.7969850897789001,0.6550061702728271,1.0839192867279053,0.8411783576011658,0.6517356038093567,0.0,0.0008938397513702512
11,2.664735794067383,3.3905715942382812,2.664735794067383,0.7701146006584167,0.7206146121025085,0.7906035780906677,0.30867570638656616,0.6810929179191589,0.5069977641105652,0.1314321607351303,0.002327593509107828,3.3905715942382812,0.8780199289321899,0.7651258707046509,0.5834447741508484,1.076906681060791,0.8705662488937378,0.6121298670768738,0.0,0.0008850533631630242
12,2.7040536403656006,3.3153076171875,2.7040536403656006,0.7658653259277344,0.7086098194122314,0.8501465916633606,0.30639439821243286,0.669067919254303,0.4758659601211548,0.12166453152894974,0.002384365303441882,3.3153076171875,0.8348378539085388,0.73055100440979,0.5890063643455505,1.0696889162063599,0.9120571613311768,0.5762128829956055,0.0,0.0008818620117381215
13,2.5021779537200928,3.208726406097412,2.5021779537200928,0.7690197825431824,0.680645763874054,0.6692883372306824,0.30672186613082886,0.6250472068786621,0.4515986740589142,0.27897125482559204,0.0024336904752999544,3.208726406097412,0.800545871257782,0.6960789561271667,0.5571739077568054,1.0622584819793701,0.9265162944793701,0.5426915287971497,0.0,0.000876390200573951
14,2.419569730758667,3.0960946083068848,2.419569730758667,0.733651876449585,0.6238839626312256,0.6887476444244385,0.3037353754043579,0.5737496614456177,0.4153614640235901,0.2425166368484497,0.002502954099327326,3.0960946083068848,0.7541345953941345,0.6559109091758728,0.5507704615592957,1.0533215999603271,0.8193937540054321,0.48398786783218384,0.0,0.0008821597439236939
15,2.4227306842803955,3.1401054859161377,2.4227306842803955,0.7245579957962036,0.6043867468833923,0.7248470783233643,0.3037446141242981,0.5400583744049072,0.3759412169456482,0.22277182340621948,0.002486639888957143,3.1401054859161377,0.7229204177856445,0.6221466660499573,0.6625489592552185,1.045810580253601,0.8666145205497742,0.4653138518333435,0.0,0.000864348141476512
16,2.2810347080230713,3.214531660079956,2.2810347080230713,0.690568208694458,0.5689216256141663,0.659959614276886,0.30298665165901184,0.5035811066627502,0.3488614559173584,0.16383977234363556,0.0024307891726493835,3.214531660079956,0.7010313272476196,0.5881379246711731,0.801485538482666,1.0349308252334595,0.8892962336540222,0.44498157501220703,0.0,0.0008233931148424745
17,2.236647605895996,2.899390459060669,2.236647605895996,0.7381422519683838,0.5194934606552124,0.6171573996543884,0.2994062900543213,0.4500957131385803,0.3205997347831726,0.3477862775325775,0.002464927500113845,2.899390459060669,0.6962984204292297,0.5583047270774841,0.5316677689552307,1.0264041423797607,0.8669968843460083,0.4254085421562195,0.0,0.0007814819109626114
18,2.1821095943450928,3.081056833267212,2.1821095943450928,0.698501467704773,0.5124701857566833,0.621666669845581,0.29929274320602417,0.44695615768432617,0.31541743874549866,0.10870508849620819,0.002381304046139121,3.081056833267212,0.6901934146881104,0.5300430655479431,0.7586227655410767,1.0179603099822998,0.8422226905822754,0.406311571598053,0.0,0.0007460867054760456
19,2.3793420791625977,3.0052294731140137,2.3793420791625977,0.6992617249488831,0.46181631088256836,0.8550213575363159,0.29894864559173584,0.42056798934936523,0.28375422954559326,0.4438019096851349,0.0023509373422712088,3.0052294731140137,0.6793609857559204,0.5005523562431335,0.737507700920105,1.0046684741973877,0.8312565088272095,0.3898579478263855,0.0,0.0007150291348807514
20,2.1334080696105957,3.070389747619629,2.1334080696105957,0.6908769607543945,0.4651506841182709,0.6326671838760376,0.295912504196167,0.42645424604415894,0.29818540811538696,0.12219018489122391,0.0022886754013597965,3.070389747619629,0.6736708283424377,0.4756850004196167,0.8450993895530701,0.9935820698738098,0.823387861251831,0.3766252398490906,0.0,0.0006826819153502584
21,2.069007396697998,2.7401764392852783,2.069007396697998,0.681666374206543,0.4223341941833496,0.6099573969841003,0.2948589324951172,0.39449846744537354,0.2659161388874054,0.4139149487018585,0.002241158625110984,2.7401764392852783,0.6395171880722046,0.44750237464904785,0.5912257432937622,0.994693398475647,0.6722515225410461,0.3189493715763092,0.0,0.0006228421698324382
22,1.9217509031295776,3.0481042861938477,1.9217509031295776,0.6849201917648315,0.3696548342704773,0.53069007396698,0.28753289580345154,0.3801751732826233,0.23966355621814728,0.21782633662223816,0.0022069141268730164,3.0481042861938477,0.6407970786094666,0.43003183603286743,0.9202028512954712,0.9823261499404907,0.7473500967025757,0.33089932799339294,0.0,0.0005740702035836875
23,1.9496291875839233,2.8298263549804688,1.9496291875839233,0.6498469710350037,0.3690565228462219,0.5986645817756653,0.28864938020706177,0.3683008849620819,0.22997057437896729,0.1307634711265564,0.002181449206545949,2.8298263549804688,0.6415309906005859,0.40885797142982483,0.7393555641174316,0.9631817936897278,0.7688993215560913,0.32981494069099426,0.0,0.0005054036737419665
24,1.9563000202178955,2.7933945655822754,1.9563000202178955,0.6650457978248596,0.33783048391342163,0.6108701825141907,0.2858894467353821,0.3519856333732605,0.21650971472263336,0.42847150564193726,0.0021031536161899567,2.7933945655822754,0.64631587266922,0.39186593890190125,0.7293238043785095,0.9496346712112427,0.7624560594558716,0.32513684034347534,0.0,0.0004398415330797434
25,1.8095309734344482,3.117318868637085,1.8095309734344482,0.6485080122947693,0.31209468841552734,0.5272979140281677,0.28539156913757324,0.32222306728363037,0.20014560222625732,0.07951059192419052,0.0020514933858066797,3.117318868637085,0.6501558423042297,0.37613701820373535,1.0807974338531494,0.936083197593689,0.7413793802261353,0.31704533100128174,0.0,0.00038382195634767413
26,1.7976409196853638,2.678734064102173,1.7976409196853638,0.647028386592865,0.2972734868526459,0.529438316822052,0.2840709090232849,0.31143665313720703,0.19288334250450134,0.17290964722633362,0.002029782859608531,2.678734064102173,0.6490861177444458,0.3608678877353668,0.6755728721618652,0.919879138469696,0.7332140803337097,0.3123723268508911,0.0,0.0003312688786536455
27,1.728304386138916,2.9720230102539062,1.728304386138916,0.6456247568130493,0.25728586316108704,0.5087084174156189,0.280438631772995,0.30138856172561646,0.16329547762870789,0.12135587632656097,0.002010372234508395,2.9720230102539062,0.6469438076019287,0.34712716937065125,1.0010522603988647,0.902485191822052,0.7440869808197021,0.3106735348701477,0.0,0.0002896327350754291
