epoch,train_loss,validation_loss
1,3.1187620162963867,2.120790719985962
2,2.5849058628082275,1.955787181854248
3,2.4406869411468506,1.8074312210083008
4,2.138601779937744,1.6748778820037842
5,1.91439950466156,1.5580332279205322
6,1.7230201959609985,1.4565882682800293
7,1.4788970947265625,1.368841528892517
8,1.3143877983093262,1.29464852809906
9,1.1993309259414673,1.23114013671875
10,1.1644045114517212,1.1795432567596436
11,1.109155535697937,1.1378026008605957
12,1.1278983354568481,1.1039241552352905
13,1.1110739707946777,1.077260971069336
14,1.0709229707717896,1.0558979511260986
15,1.093864917755127,1.0374109745025635
16,1.086656093597412,1.0213536024093628
17,1.0539957284927368,1.0069295167922974
18,1.0653982162475586,0.9936198592185974
19,1.0594793558120728,0.9811668992042542
20,1.0657215118408203,0.969510018825531
21,1.029732584953308,0.9579960703849792
22,1.031043291091919,0.9472455382347107
23,1.0305752754211426,0.9378311634063721
24,0.994538426399231,0.9292749762535095
25,1.0169026851654053,0.9229166507720947
26,0.9995684623718262,0.9188332557678223
27,0.9804022312164307,0.9170930981636047
28,0.9480974674224854,0.915656328201294
29,0.9460365176200867,0.9146748781204224
30,0.9525489211082458,0.914081871509552
31,0.9043864011764526,0.9128719568252563
32,0.9392635226249695,0.9087386131286621
33,0.9490536451339722,0.9000964760780334
34,0.9268571734428406,0.8868874907493591
35,0.9601396322250366,0.8729104399681091
36,0.9871560335159302,0.8543264269828796
37,0.8524816036224365,0.8347721099853516
38,0.868841290473938,0.8130280375480652
39,0.8463695049285889,0.7903744578361511
40,0.8444668650627136,0.7694442868232727
41,0.8513188362121582,0.7495128512382507
42,0.7975325584411621,0.731146514415741
43,0.8369344472885132,0.7138550281524658
44,0.7981486916542053,0.6990199685096741
45,0.7777482867240906,0.6838353872299194
46,0.8026587963104248,0.6704776883125305
47,0.7794719338417053,0.6588388085365295
48,0.7323506474494934,0.6497942209243774
49,0.7348139882087708,0.6437970995903015
50,0.7190366983413696,0.6399917602539062
