epoch,train_loss,validation_loss
1,0.7047467231750488,0.6826152801513672
2,0.7037423253059387,0.681715190410614
3,0.7036720514297485,0.6814574003219604
4,0.7032285928726196,0.6813927292823792
5,0.7031757831573486,0.6815267205238342
6,0.7026121020317078,0.6816969513893127
7,0.7017537951469421,0.6817753911018372
8,0.7020269632339478,0.6818491816520691
9,0.7010620832443237,0.6818460822105408
10,0.7012265920639038,0.6819007396697998
11,0.6996963024139404,0.6819669604301453
12,0.7012916207313538,0.6820010542869568
13,0.6994878649711609,0.6819324493408203
14,0.7002796530723572,0.6818471550941467
