epoch,train_loss,validation_loss
1,0.7190459370613098,0.6871963739395142
2,0.7029349207878113,0.6869377493858337
3,0.704867959022522,0.6881586313247681
4,0.7009356021881104,0.6892681121826172
5,0.705609917640686,0.6895500421524048
6,0.707158625125885,0.6893838047981262
7,0.7049761414527893,0.6888090372085571
8,0.7088416814804077,0.6881165504455566
9,0.705933153629303,0.6873754858970642
10,0.7076404094696045,0.6865588426589966
11,0.7008863091468811,0.6857355237007141
12,0.7028536200523376,0.684958815574646
13,0.7031135559082031,0.6842362880706787
14,0.7032071948051453,0.6836170554161072
15,0.705055296421051,0.6830523610115051
16,0.7006832957267761,0.68251633644104
17,0.7017552256584167,0.6821029186248779
18,0.6980557441711426,0.6816415786743164
19,0.699131190776825,0.681542694568634
20,0.6990463137626648,0.6816137433052063
21,0.6990960240364075,0.6817566156387329
22,0.6999112963676453,0.6819803714752197
23,0.6993698477745056,0.6822999119758606
24,0.7000556588172913,0.6825562715530396
25,0.6987349987030029,0.682908296585083
26,0.6989927291870117,0.6831533312797546
27,0.6980507373809814,0.6831808686256409
28,0.6998569965362549,0.6830514073371887
29,0.6988680958747864,0.6825668811798096
