epoch,train_loss,validation_loss
1,1.3731179237365723,1.3730361461639404
2,1.3757838010787964,1.369081974029541
3,1.3647265434265137,1.364747405052185
4,1.3584039211273193,1.3597419261932373
5,1.365411639213562,1.3542431592941284
6,1.346254587173462,1.3482496738433838
7,1.345671534538269,1.3417140245437622
8,1.3397084474563599,1.3346104621887207
9,1.3282113075256348,1.3267892599105835
10,1.3292288780212402,1.3183366060256958
11,1.2900340557098389,1.309022068977356
12,1.2927219867706299,1.2989237308502197
13,1.256569504737854,1.2880362272262573
14,1.256164789199829,1.276145100593567
15,1.2375339269638062,1.2634929418563843
16,1.2789102792739868,1.249997615814209
17,1.2033171653747559,1.2355849742889404
18,1.2706695795059204,1.220451831817627
19,1.1852463483810425,1.2041624784469604
20,1.15449059009552,1.1864880323410034
21,1.1215871572494507,1.1683076620101929
22,1.1110373735427856,1.1493654251098633
23,1.1850239038467407,1.1289373636245728
24,1.0984019041061401,1.105515718460083
25,1.0849229097366333,1.082087755203247
26,1.079189419746399,1.0562069416046143
27,1.0544116497039795,1.0311928987503052
28,1.022807240486145,1.006609320640564
29,0.9864524602890015,0.9832612872123718
30,0.9675583243370056,0.9638867974281311
31,0.9730294346809387,0.9481601119041443
32,0.9320861101150513,0.9395450353622437
33,0.8495785593986511,0.9370325207710266
34,0.8627744317054749,0.9419894218444824
35,0.8485628962516785,0.9583595991134644
36,0.7820110321044922,0.9852880239486694
37,0.7725813388824463,1.023667573928833
38,0.7385167479515076,1.0655548572540283
39,0.7165313363075256,1.1205741167068481
40,0.6193116307258606,1.1843843460083008
41,0.5537502765655518,1.2504138946533203
42,0.6840673685073853,1.3271197080612183
43,0.5408609509468079,1.411818265914917
