dataset,model,seed,node_f1,node_auroc,node_threshold,edge_f1,edge_auroc,edge_threshold,subgraph_f1,subgraph_auroc,subgraph_threshold
theia,HistGradientBoosting,33,0.9326923076923077,0.990802546459152,0.56,0.9847715736040609,0.999325,0.95,0.4,0.5,0.37
theia,LogisticRegression,44,0.9326923076923077,0.9791598743929852,0.9742308927234081,0.9847715736040609,0.9896,0.9996753287826675,0.4,0.6666666666666667,0.9998064127829721
theia,RandomForest,44,0.9326923076923077,0.9830207457487516,0.56,0.9847715736040609,0.990225,0.53,0.6666666666666666,0.6666666666666667,0.9
theia,HistGradientBoosting,44,0.9326923076923077,0.990802546459152,0.56,0.9847715736040609,0.999325,0.95,0.4,0.5,0.37
theia,LogisticRegression,55,0.9326923076923077,0.9791598743929852,0.9742308927234081,0.9847715736040609,0.9896,0.9996753287826675,0.4,0.6666666666666667,0.9998064127829721
theia,RandomForest,55,0.9326923076923077,0.9830207457487516,0.5700000000000001,0.9847715736040609,0.992,0.4,0.4,0.5,0.89
theia,HistGradientBoosting,55,0.9326923076923077,0.990802546459152,0.56,0.9847715736040609,0.999325,0.95,0.4,0.5,0.37
trace,LogisticRegression,11,1.0,1.0,0.05,0.9904761904761905,1.0,0.016809875353986172,0.888888888888889,,0.05
trace,RandomForest,11,0.6,1.0,0.12491507501774854,1.0,1.0,0.1,1.0,,0.05
trace,HistGradientBoosting,11,1.0,1.0,0.5,0.18840579710144925,0.9711538461538461,0.0403680996763932,1.0,,0.05
trace,LogisticRegression,22,1.0,1.0,0.05,0.9904761904761905,1.0,0.016809875353986172,0.888888888888889,,0.05
trace,RandomForest,22,0.3333333333333333,0.9967384213959556,0.25,1.0,1.0,0.1,1.0,,0.05
trace,HistGradientBoosting,22,1.0,1.0,0.5,0.18840579710144925,0.9711538461538461,0.0403680996763932,1.0,,0.05
trace,LogisticRegression,33,1.0,1.0,0.05,0.9904761904761905,1.0,0.016809875353986172,0.888888888888889,,0.05
trace,RandomForest,33,0.4,0.9908675799086758,0.28,1.0,1.0,0.15000000000000002,1.0,,0.05
trace,HistGradientBoosting,33,1.0,1.0,0.5,0.18840579710144925,0.9711538461538461,0.0403680996763932,1.0,,0.05
trace,LogisticRegression,44,1.0,1.0,0.05,0.9904761904761905,1.0,0.016809875353986172,0.888888888888889,,0.05
trace,RandomForest,44,0.8571428571428571,1.0,0.2,1.0,1.0,0.1,1.0,,0.05
trace,HistGradientBoosting,44,1.0,1.0,0.5,0.18840579710144925,0.9711538461538461,0.0403680996763932,1.0,,0.05
trace,LogisticRegression,55,1.0,1.0,0.05,0.9904761904761905,1.0,0.016809875353986172,0.888888888888889,,0.05
trace,RandomForest,55,1.0,1.0,0.2,1.0,1.0,0.1,1.0,,0.05
trace,HistGradientBoosting,55,1.0,1.0,0.5,0.18840579710144925,0.9711538461538461,0.0403680996763932,1.0,,0.05
streamspot,LogisticRegression,11,0.6278481012658228,0.8573578248235784,0.999999999550842,0.6666666666666666,0.479552,0.05,0.6666666666666666,0.32,0.05
streamspot,RandomForest,11,0.6643913538111491,0.5057596513075966,0.2,0.6858710562414266,0.7083999999999999,0.5550522035940167,0.7272727272727272,0.6799999999999999,0.36
streamspot,HistGradientBoosting,11,0.6682134570765661,0.5145461463954613,0.31,0.6576819407008087,0.43616,0.38944629266580955,0.6666666666666666,0.5,0.05
streamspot,LogisticRegression,22,0.6278481012658228,0.8573578248235784,0.999999999550842,0.6666666666666666,0.479552,0.05,0.6666666666666666,0.32,0.05
streamspot,RandomForest,22,0.6643913538111491,0.5140964438909644,0.21000000000000002,0.6802919708029197,0.603656,0.6633951351814927,0.7692307692307693,0.52,0.39
streamspot,HistGradientBoosting,22,0.6682134570765661,0.5145461463954613,0.31,0.6576819407008087,0.43616,0.38944629266580955,0.6666666666666666,0.5,0.05
streamspot,LogisticRegression,33,0.6278481012658228,0.8573578248235784,0.999999999550842,0.6666666666666666,0.479552,0.05,0.6666666666666666,0.32,0.05
streamspot,RandomForest,33,0.6643913538111491,0.5137043955537106,0.21000000000000002,0.6813793103448276,0.5603279999999999,0.625,0.6666666666666666,0.5,0.05
streamspot,HistGradientBoosting,33,0.6682134570765661,0.5145461463954613,0.31,0.6576819407008087,0.43616,0.38944629266580955,0.6666666666666666,0.5,0.05
streamspot,LogisticRegression,44,0.6278481012658228,0.8573578248235784,0.999999999550842,0.6666666666666666,0.479552,0.05,0.6666666666666666,0.32,0.05
streamspot,RandomForest,44,0.65675057208238,0.5052061713020618,0.31666279021667953,0.6830601092896176,0.5878559999999999,0.56,0.888888888888889,0.9400000000000001,0.45000000000000007
streamspot,HistGradientBoosting,44,0.6682134570765661,0.5145461463954613,0.31,0.6576819407008087,0.43616,0.38944629266580955,0.6666666666666666,0.5,0.05
streamspot,LogisticRegression,55,0.6278481012658228,0.8573578248235784,0.999999999550842,0.6666666666666666,0.479552,0.05,0.6666666666666666,0.32,0.05
streamspot,RandomForest,55,0.6643913538111491,0.5136352105530188,0.22,0.6792452830188679,0.598584,0.49,0.7692307692307693,0.72,0.41000000000000003
streamspot,HistGradientBoosting,55,0.6682134570765661,0.5145461463954613,0.31,0.6576819407008087,0.43616,0.38944629266580955,0.6666666666666666,0.5,0.05
