metric,matched_seeds,candidate,reference,candidate_mean,reference_mean,paired_difference,ci95_low,ci95_high,paired_effect_dz,sign_flip_pvalue_two_sided
edge_auroc,5,X-THGNN,HistGradientBoosting,0.6357999999999999,0.488375,0.14742499999999997,-0.03432434046185445,0.3291743404618544,1.007169074011629,0.12289385530723464
edge_f1,5,X-THGNN,HistGradientBoosting,0.4343156197208017,0.4705882352941176,-0.03627261557331592,-0.18747773647525223,0.11493250532862041,-0.29786293353967275,0.49687515624218787
node_auroc,5,X-THGNN,HistGradientBoosting,0.5650793650793652,0.908442604094778,-0.3433632390154129,-0.8925595985947816,0.20583312056395586,-0.7763011621537507,0.256337183140843
node_f1,5,X-THGNN,HistGradientBoosting,0.04318599609154936,0.4285714285714285,-0.38538543247987916,-0.43836813079060233,-0.332402734169156,-9.031612813226749,0.06089695515224239
subgraph_f1,5,X-THGNN,HistGradientBoosting,1.0,1.0,0.0,0.0,0.0,,1.0
