epoch,train_loss,validation_loss
1,1.4435580968856812,1.4211516380310059
2,1.394745945930481,1.3903840780258179
3,1.3516919612884521,1.3615312576293945
4,1.3075059652328491,1.3336961269378662
5,1.273587703704834,1.306645393371582
6,1.2172656059265137,1.2797178030014038
7,1.1654512882232666,1.2527929544448853
8,1.1171579360961914,1.225834846496582
9,1.0607057809829712,1.1988240480422974
10,1.0074745416641235,1.1716994047164917
11,0.9477605223655701,1.1444697380065918
12,0.8700758814811707,1.11725652217865
13,0.8033414483070374,1.0903680324554443
14,0.7543663382530212,1.0640040636062622
15,0.7045359015464783,1.038381814956665
16,0.6317369937896729,1.0140914916992188
17,0.6040310263633728,0.9911529421806335
18,0.5692607164382935,0.9696715474128723
19,0.5811008810997009,0.9492154717445374
20,0.5285948514938354,0.9298670291900635
21,0.5641105771064758,0.9108890891075134
22,0.498420387506485,0.8923550248146057
23,0.48394575715065,0.874225914478302
24,0.4602299928665161,0.8564208149909973
25,0.4411628544330597,0.8388234376907349
26,0.4223495423793793,0.8212607502937317
27,0.39980044960975647,0.8038191199302673
28,0.3901579976081848,0.7859776020050049
29,0.37324976921081543,0.7676342725753784
30,0.3605741560459137,0.748594343662262
31,0.3462742567062378,0.7287909984588623
32,0.33273035287857056,0.7083187103271484
33,0.31971243023872375,0.6870536804199219
34,0.3027492165565491,0.6653473377227783
35,0.2869299054145813,0.64353346824646
36,0.27133190631866455,0.6219071745872498
37,0.2552092671394348,0.6008448600769043
38,0.23979033529758453,0.5808216333389282
39,0.22472070157527924,0.5622634887695312
40,0.20875787734985352,0.5457635521888733
41,0.1961774080991745,0.5317951440811157
42,0.1781485229730606,0.5214380025863647
43,0.1626177281141281,0.515658438205719
44,0.1471724808216095,0.5158800482749939
45,0.13480719923973083,0.5226619243621826
46,0.11908428370952606,0.5374797582626343
47,0.10624698549509048,0.5613919496536255
48,0.0949234887957573,0.5940877795219421
49,0.08482842147350311,0.635071337223053
50,0.07346642017364502,0.683773398399353
